,2017,2016,2015,2014,2013
负债占资产比率(%),0.292751550564,0.298362835834,0.0614659081121,0.0499203958247,0.0394001409424
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.0954601578,2.16047538911,17.8708627683,18.9524567892,24.0674195205
速动比率(%),1.79356798177,1.97450751642,16.6752302033,17.8025575138,22.7475909856
应收款项周转率,0.55541068201,1.20964666688,0.992014108909,1.15102883137,1.03136867924
应收款项周转天数,648.16902458,297.607565793,362.898064419,312.763668632,349.050739319
存货周转率,1.92119330132,4.19503251181,2.77766349274,2.51795709675,2.79285849402
存货周转天数,187.38353905,85.8157830687,129.605332302,142.97304766,128.900193394
固定资产周转率,8.1599969189,13.1106749649,9.672964709,8.93598914697,7.80599931632
总资产周转率,0.156720724648,0.297904956879,0.218868810685,0.228215957886,0.227232793597
ROA=资产收益率,0.0,0.00864292970853,0.00217862809701,0.0255655518793,0.0261112489226
净资产收益率,0.0,0.010771826868,0.00230702633944,0.0267639794952,0.0274289018647
ROA=税前纯益占实收资本比率,0.0,0.0257041711934,0.0157407028758,0.0801370954248,0.0981439563399
毛利率,0.302960074961,0.375404983309,0.415031174239,0.507828968412,0.428195705486
营业利润率,0.0,0.0,0.0,0.0560648841188,0.0246680925842
净利率,0.302960074961045,0.3754049833086872,0.41503117423904695,0.45176408429273524,0.40352761290170314
营业费用率,0.302960074961045,0.3754049833086872,0.41503117423904695,0.45176408429273524,0.40352761290170314
经营安全边际率,0.0,0.0,0.0,0.11040111456066312,0.057609388109562024
EPS=基本每股收益,0.0,0.0163084562334,0.00633405381264,0.0731827643137,0.109115506667
营收增长率,-0.413288542962,0.590082213752,-0.0259463463265,0.0319557361592,-0.152800826192
毛利率,0.302960074961,0.375404983309,0.415031174239,0.507828968412,0.428195705486
营业利润率,0.0,0.0,0.0,0.0560648841188,0.0246680925842
净利增长率,0.0,3.63450770839,-0.913448830855,0.00603617051363,0.167009733715
净资本增长率,-0.0597636539167,0.351867170101,-0.0130286618698,0.0456421029095,0.00921093547695
现金流量比率,0.0,0.086926744714,0.0,0.369682274817,2.56248709738
现金再投资比率,0.0,0.0348661980896,0.0,-0.00626115035149,0.0978747486925
