,2017,2016,2015,2014,2013
负债占资产比率(%),0.508937545963,0.4588039247,0.35484829982,0.482332573199,0.323720081464
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),4.19226093218,3.56211371229,3.31144213907,1.53912325309,2.69184376582
速动比率(%),3.79000411624,3.28888381336,3.06431744092,1.39800118202,2.36105199766
应收款项周转率,0.860433740991,1.41111658488,1.4510405116,1.96804911921,1.99652479993
应收款项周转天数,418.393634338,255.117120625,248.097828505,182.922263721,180.313312418
存货周转率,3.12346085641,4.60741644717,3.57378112021,4.29562177135,4.30259304183
存货周转天数,115.256766949,78.1348949303,100.733645372,83.8062611567,83.6704741768
固定资产周转率,4.52744000525,5.8948435448,5.38347645892,19.9916995003,16.6115586335
总资产周转率,0.142850200992,0.221493319773,0.258298742011,0.469296292912,0.536489029935
ROA=资产收益率,0.0160113220122,0.0231612604722,0.0351450438762,0.113854612249,0.12781646342
净资产收益率,0.0311109108144,0.0393958567228,0.0590376589634,0.196162874137,0.176829642508
ROA=税前纯益占实收资本比率,0.123235914699,0.16234830883,0.166812047549,0.472026500726,0.479113230369
毛利率,0.51073023944,0.537904613656,0.617410885459,0.632604066605,0.619282960261
营业利润率,0.0729241894637,0.11047632557,0.120354944538,0.267055113621,0.247297446109
净利率,0.43780604997632533,0.42742828808628686,0.497055940921727,0.3655489529836068,0.3719855141522783
营业费用率,0.43780604997632533,0.42742828808628686,0.497055940921727,0.3655489529836068,0.3719855141522783
经营安全边际率,0.14278416242534203,0.20538274401267348,0.19493492481621297,0.42215206591143173,0.3993286784518501
EPS=基本每股收益,0.0986957021835,0.122007028652,0.136620162355,0.394332779731,0.400430121144
营收增长率,-0.245309969775,0.162011146365,-0.149268950027,0.257192958393,0.255480740841
毛利率,0.51073023944,0.537904613656,0.617410885459,0.632604066605,0.619282960261
营业利润率,0.0729241894637,0.11047632557,0.120354944538,0.267055113621,0.247297446109
净利增长率,-0.191065438822,-0.106961765017,-0.522876752444,0.280204926108,0.420150574572
净资本增长率,0.125161862184,0.225315761286,0.557205587002,0.528046139105,0.317498489818
现金流量比率,0.0,0.0,0.0,0.0,0.0
现金再投资比率,0.0,0.0,0.0,0.0,0.0
