,2017,2016,2015,2014,2013
负债占资产比率(%),0.282671210893,0.186776691287,0.182558142551,0.323620854581,0.30135146423
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),3.06428961098,3.86626965931,4.23358639909,2.52801769697,2.8003510074
速动比率(%),2.80161771987,3.61128896818,3.9408415679,2.28737761491,2.53399823938
应收款项周转率,0.554703766854,0.0,0.0,1.41894505571,1.93522407534
应收款项周转天数,648.995051975,0.0,0.0,253.709612329,186.024969712
存货周转率,3.95687649207,7.44349300937,8.3834911675,7.19901713954,8.57604984131
存货周转天数,90.9808533881,48.3643901521,42.9415374583,50.0068263517,41.9773679796
固定资产周转率,1.62980504723,6.90091030397,8.09092203646,4.70554233878,10.0853403099
总资产周转率,0.242733446533,0.460644671134,0.628453179232,0.675301829294,0.700152309699
ROA=资产收益率,0.00824073443277,0.0367026314198,0.0675836273115,0.0954989459309,0.100088739807
净资产收益率,0.0107257167715,0.0450177721262,0.0884699454986,0.139068566654,0.145077329093
ROA=税前纯益占实收资本比率,0.0319138050462,0.133729068717,0.199496688065,0.464447173897,0.447416203824
毛利率,0.318591488473,0.317762918156,0.312266391411,0.34679571149,0.340920455989
营业利润率,0.0390286164236,0.0736123794968,0.104273046882,0.136181672856,0.143384048072
净利率,0.279562872049468,0.24415053865874886,0.20799334452885068,0.21061403863423278,0.1975364079173754
营业费用率,0.279562872049468,0.24415053865874886,0.20799334452885068,0.21061403863423278,0.1975364079173754
经营安全边际率,0.12250363815636497,0.23165818064632795,0.33392337360090935,0.39268557350568617,0.420579186589678
EPS=基本每股收益,0.0268112678976,0.124587359601,0.181292617615,0.428325670735,0.39478735875
营收增长率,-0.494945523384,-0.072462918611,0.315482660397,0.0967380451729,0.122042437627
毛利率,0.318591488473,0.317762918156,0.312266391411,0.34679571149,0.340920455989
营业利润率,0.0390286164236,0.0736123794968,0.104273046882,0.136181672856,0.143384048072
净利增长率,-0.784799453303,-0.312783050739,0.000352462874335,0.0849528518124,0.0781580606729
净资本增长率,-0.11922518795,0.0391928682435,0.635423834796,0.15686464483,0.115054962224
现金流量比率,0.0,0.242946644115,0.27948549465,0.0,0.0
现金再投资比率,0.0,0.0418514593654,0.0404156513075,0.0,0.0
