,2017,2016,2015,2014,2013
负债占资产比率(%),0.491913851547,0.288383557257,0.303927701588,0.282068731978,0.23759466351
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.869729483159,2.46437155979,2.62454920482,3.72814228394,4.34561009851
速动比率(%),0.682340947322,2.02377212239,2.25864994782,3.13423886012,3.80696521988
应收款项周转率,2.55617308087,4.01606865734,3.82890091097,6.12459068076,6.28225299619
应收款项周转天数,140.835533671,89.6399017837,94.0217593431,58.7794382947,57.3042824315
存货周转率,3.21354974424,3.56530900695,2.51282832505,3.18748308416,3.30435253056
存货周转天数,112.02565034,100.973015045,143.264860719,112.941775845,108.94721331
固定资产周转率,3.78690511026,3.74303518466,2.44611682168,1.93324872831,2.15896565322
总资产周转率,0.315933904396,0.393143633588,0.325199808892,0.50517311492,0.453326003046
ROA=资产收益率,0.0427749270423,0.0742407451002,0.0515741372053,0.0637330688483,0.0411843120276
净资产收益率,0.0717206102714,0.105409423909,0.073438656468,0.0862854360916,0.0541318862732
ROA=税前纯益占实收资本比率,0.220921158613,0.305847823359,0.22334032287,0.367468246729,0.363752819661
毛利率,0.458066232456,0.578035760176,0.652693112182,0.581961313954,0.51136052605
营业利润率,0.112658431089,0.168168127664,0.128916284954,0.104458322847,0.0498241761095
净利率,0.34540780136631877,0.40986763251274994,0.5237768272274672,0.4775029911067264,0.4615363499406477
营业费用率,0.34540780136631877,0.40986763251274994,0.5237768272274672,0.4775029911067264,0.4615363499406477
经营安全边际率,0.24594354070902455,0.2909303182423393,0.19751439466445436,0.1794935854714587,0.09743453702679987
EPS=基本每股收益,0.196551846864,0.279198872786,0.190926948653,0.321635022828,0.315320257143
营收增长率,-0.0188180984425,0.84172521551,0.212724194484,0.209441031112,0.271601139159
毛利率,0.458066232456,0.578035760176,0.652693112182,0.581961313954,0.51136052605
营业利润率,0.112658431089,0.168168127664,0.128916284954,0.104458322847,0.0498241761095
净利增长率,-0.296520417826,1.19297771919,0.524470870307,0.679531351735,-0.400839040327
净资本增长率,0.304350115739,0.126998069108,1.52406804047,0.148568544851,0.0207456561042
现金流量比率,0.00944237487518,0.33751202713,0.352220751329,0.288758487804,0.370072238309
现金再投资比率,-0.0119801646885,0.0531866053485,0.0502160300715,0.0466282550128,0.0619157337976
