,2017,2016,2015,2014,2013
负债占资产比率(%),0.377138923218,0.45819588636,0.513931182081,0.465009480352,0.389499546869
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.23878354978,1.92074611643,1.75958747653,1.89599773977,2.78068242794
速动比率(%),1.3957314123,1.30554776432,1.23626470612,1.32788804429,2.15819770081
应收款项周转率,0.419741345091,0.540687191473,0.795168636177,0.957112233645,0.611981615821
应收款项周转天数,857.671049588,665.819360395,452.734154268,376.131437197,588.252964947
存货周转率,0.373594265145,0.514838463101,0.688700926685,0.822634655491,0.701710518234
存货周转天数,963.612222099,699.248455199,522.723269348,437.618324972,513.032070413
固定资产周转率,18.3211005731,23.4056341274,21.8737655173,19.4737953242,13.5451323327
总资产周转率,0.177519519968,0.223163666704,0.33698804347,0.367864323484,0.226666580083
ROA=资产收益率,0.0,0.00932651655116,0.00440213563626,0.0044023855541,0.0
净资产收益率,0.0,0.0181649084489,0.00864064900009,0.00772959604345,0.0
ROA=税前纯益占实收资本比率,0.0,0.0464297044119,0.0467341521685,0.0564116710411,0.0
毛利率,0.387698535868,0.394502703738,0.485396315313,0.484686727242,0.450081634658
营业利润率,0.0,0.0412251730799,0.00959005190969,0.0177133695241,0.0
净利率,0.3876985358680602,0.353277530657578,0.4758062634033393,0.46697335771796317,0.4500816346581848
营业费用率,0.3876985358680602,0.353277530657578,0.4758062634033393,0.46697335771796317,0.4500816346581848
经营安全边际率,0.0,0.10449908882591637,0.019757158443825137,0.0365460173108316,0.0
EPS=基本每股收益,0.0,0.047283863767,0.0435480916135,0.0384090339333,0.0
营收增长率,-0.287007349765,-0.321223534728,0.038693037249,0.796569716897,-0.404776976272
毛利率,0.387698535868,0.394502703738,0.485396315313,0.484686727242,0.450081634658
营业利润率,0.0,0.0412251730799,0.00959005190969,0.0177133695241,0.0
净利增长率,0.0,1.17156995933,0.133798149915,0.0,0.0
净资本增长率,-0.174575550357,-0.0352889578427,0.0907288773595,0.184974794637,0.0269078295152
现金流量比率,0.0671209463064,0.0,0.0,0.0,0.0
现金再投资比率,0.0270356877632,0.0,0.0,0.0,0.0
