,2017,2016,2015,2014,2013
负债占资产比率(%),0.135678564408,0.184897579961,0.18477732615,0.197569763313,0.209138114621
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),3.57207448382,2.98873976408,0.813978459423,1.67551466046,3.57810246564
速动比率(%),0.0,0.0,0.0,0.0,0.0
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.0,0.0,0.0,0.0,0.0
存货周转天数,0.0,0.0,0.0,0.0,0.0
固定资产周转率,33.4030930315,17.2028122226,10.292718441,7.28158840939,4.44156147444
总资产周转率,0.124689489016,0.202923602745,0.174211166694,0.222937773802,0.267850096831
ROA=资产收益率,0.0403912242079,0.060963501987,0.0776964303264,0.100842479838,0.108138034143
净资产收益率,0.0481210394907,0.0747876885517,0.0958928712244,0.126175762401,0.127685600065
ROA=税前纯益占实收资本比率,0.177881903939,0.20543037987,0.201449851354,0.283985405939,0.24465223053
毛利率,0.60377972006,0.561475900678,0.614328712074,0.617543880701,0.544355183426
营业利润率,0.379473111263,0.290754071379,0.455372185548,0.447440488849,0.419031620941
净利率,0.2243066087969175,0.2707218292988963,0.1589565265263398,0.17010339185183349,0.12532356248511872
营业费用率,0.2243066087969175,0.2707218292988963,0.1589565265263398,0.17010339185183349,0.12532356248511872
经营安全边际率,0.6284959541625521,0.5178389153088604,0.7412516729201509,0.7245484941753413,0.7697761198921702
EPS=基本每股收益,0.150226223279,0.201090358082,0.188533790419,0.270075838998,0.21788204883
营收增长率,-0.310378330548,0.650403180161,0.450478318393,1.03615203879,0.688405057179
毛利率,0.60377972006,0.561475900678,0.614328712074,0.617543880701,0.544355183426
营业利润率,0.379473111263,0.290754071379,0.455372185548,0.447440488849,0.419031620941
净利增长率,-0.256414815277,0.11173765937,0.43013310981,1.28130523935,0.866577872393
净资本增长率,-0.0276254684182,0.320270016459,0.568407202201,1.60613728073,1.10930558219
现金流量比率,0.829258419976,1.38186865965,0.465296636812,0.5674728687,0.542061110366
现金再投资比率,0.0286686550617,0.0803339023456,0.0620143058287,0.0849302370676,0.0743830959516
