,2017,2016,2015,2014,2013
负债占资产比率(%),0.562995252754,0.405144479437,0.163588027605,0.135670755884,0.126303574758
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.21842522273,1.50575693794,4.70939091107,6.03883926453,6.82254871528
速动比率(%),0.614617448832,0.940085090795,3.90141158345,4.81406703726,5.24150948367
应收款项周转率,2.15969117738,2.09837021277,1.63798318609,1.65465015658,2.99152853534
应收款项周转天数,166.69049898,171.561718618,219.782475826,217.568649523,120.339818172
存货周转率,1.53685543737,2.47315689911,3.35783323096,2.47793964861,9.39748150222
存货周转天数,234.244543271,145.56294432,107.211995128,145.281988688,38.3081360591
固定资产周转率,7.18660531525,4.1468397625,2.35984233404,2.57784875602,4.32141436884
总资产周转率,0.481067841249,0.505511070182,0.399656175611,0.377552142595,0.490783793011
ROA=资产收益率,0.04947645702,0.0217649141721,0.0,0.0,0.0803329176851
净资产收益率,0.0991019359384,0.0325551525904,0.0,0.0,0.111219105109
ROA=税前纯益占实收资本比率,1.27969899687,0.298783294783,0.0,0.0,0.0498204138
毛利率,0.192734635413,0.137389002478,0.0279616216001,0.069512929626,0.112723215017
营业利润率,0.11068387584,0.0401191234454,0.0,0.0,0.00320191061665
净利率,0.08205075957395172,0.09726987903282935,0.027961621600077476,0.0695129296259914,0.10952130440019368
营业费用率,0.08205075957395172,0.09726987903282935,0.027961621600077476,0.0695129296259914,0.10952130440019368
经营安全边际率,0.5742811903115794,0.2920111706301386,0.0,0.0,0.028405068256539615
EPS=基本每股收益,1.15173284318,0.287498930791,0.0,0.0,0.0390188441
营收增长率,0.677063624597,1.0110761268,0.00418442155738,0.0264062964056,0.256267681903
毛利率,0.192734635413,0.137389002478,0.0279616216001,0.069512929626,0.112723215017
营业利润率,0.11068387584,0.0401191234454,0.0,0.0,0.00320191061665
净利增长率,3.00604217905,0.0,0.0,0.0,0.186423361916
净资本增长率,0.536024638459,1.27758130274,-0.057876916359,-0.0451266760014,0.287242270519
现金流量比率,0.0,0.00205710374749,0.0,0.0,0.201490630531
现金再投资比率,0.0,-0.000860221064123,0.0,0.0,0.0120119535139
