,2017,2016,2015,2014,2013
负债占资产比率(%),0.448302604393,0.403487973674,0.344920493238,0.40369776574,0.260112867242
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.52429131157,1.6609779459,2.14824485268,2.06789792599,2.98586290615
速动比率(%),1.10338863257,1.36788782081,1.73660503668,1.74957201637,2.58617541247
应收款项周转率,2.7927240344,4.27445703232,5.54151418103,0.836780018514,2.99152853534
应收款项周转天数,128.906399474,84.2212232519,64.9641935831,430.220598048,120.339818172
存货周转率,2.16510683944,4.34999633193,4.46433531865,3.06051137944,9.39748150222
存货周转天数,166.273549851,82.7586904747,80.6391039885,117.62740123,38.3081360591
固定资产周转率,2.55343164672,2.58657141475,3.07189376221,5.4584856594,2.8319649574
总资产周转率,0.510872499372,0.786576718056,0.793684185848,0.235302061789,0.490783793011
ROA=资产收益率,0.0312732398532,0.103511214246,0.0998063707709,0.0201096747469,0.0803329176851
净资产收益率,0.0545735371294,0.166274632519,0.159278760103,0.0284364316197,0.111219105109
ROA=税前纯益占实收资本比率,0.177343614928,0.560631332743,0.91467425448,2.27713042055,0.416173016038
毛利率,0.367395731585,0.347435019088,0.329184107719,0.335779200072,0.338423535674
营业利润率,0.0557810468506,0.147913735023,0.141825361441,0.165137967102,0.147265217663
净利率,0.31161468473467596,0.1995212840652586,0.18735874627844237,0.1706412329701767,0.19115831801085678
营业费用率,0.31161468473467596,0.1995212840652586,0.18735874627844237,0.1706412329701767,0.19115831801085678
经营安全边际率,0.15182823874929158,0.42573064572241415,0.43083902933084245,0.49180523113538543,0.43515063859253394
EPS=基本每股收益,0.170201450045,0.480623106221,0.795270438152,1.98344096373,0.364115271336
营收增长率,-0.242376142995,0.150423346131,-0.0610742700047,0.0615463374333,0.256267681903
毛利率,0.367395731585,0.347435019088,0.329184107719,0.335779200072,0.338423535674
营业利润率,0.0557810468506,0.147913735023,0.141825361441,0.165137967102,0.147265217663
净利增长率,-0.647574213986,0.203908457504,-0.197619512563,-0.380111628297,0.186423361916
净资本增长率,0.0990161525534,0.250900210467,0.0648912988599,1.13589682408,0.287242270519
现金流量比率,0.169066935338,0.106724863561,0.0,0.423130277022,0.0862884793126
现金再投资比率,0.0971863677167,0.0379003552474,0.0,0.196554228143,-0.0088011934416
