,2017,2016,2015,2014,2013
负债占资产比率(%),0.239812616887,0.332519146175,0.325443548969,0.0612036456581,0.260112867242
长期资金占不动产及设备比率(%),0.0,0.0,0.0,2.45226141995,0.0
流动比率(%),1.56504243459,2.21061402667,2.73624442397,10.3525164739,2.98586290615
速动比率(%),1.41726830914,2.0536063837,2.60403724907,5.17851545487,2.58617541247
应收款项周转率,1.77628658994,2.02686969331,0.0,0.836780018514,2.99152853534
应收款项周转天数,202.669998208,177.613786021,0.0,430.220598048,120.339818172
存货周转率,7.01683345041,7.29188396963,0.50179431524,3.06051137944,9.39748150222
存货周转天数,51.3051937949,49.3699572702,717.425425253,117.62740123,38.3081360591
固定资产周转率,2.52518683186,2.23598397811,5.63557426405,0.903957122021,2.8319649574
总资产周转率,0.414614992172,0.542789564341,0.195998796965,0.235302061789,0.490783793011
ROA=资产收益率,0.0384777003142,0.0663898924951,0.0156501123791,0.0201096747469,0.0803329176851
净资产收益率,0.0526007637825,0.0990021415688,0.016994110605,0.0284364316197,0.111219105109
ROA=税前纯益占实收资本比率,0.344785934872,0.350036550882,0.832011429836,0.480541582139,0.416173016038
毛利率,0.457616127244,0.489481415186,0.494848842102,0.581025624191,0.338423535674
营业利润率,0.108335838395,0.0704189779427,0.0785025640811,0.259085286607,0.147265217663
净利率,0.34928028884905027,0.41906243724364206,0.4163462780205234,0.3219403375836432,0.19115831801085678
营业费用率,0.34928028884905027,0.41906243724364206,0.4163462780205234,0.3219403375836432,0.19115831801085678
经营安全边际率,0.23673955515339437,0.143864456867791,0.15863948220572377,0.44591025906620213,0.43515063859253394
EPS=基本每股收益,0.290021590557,0.318044524446,0.709094947586,0.409600988864,0.364115271336
营收增长率,0.383853577668,0.287985767134,-0.0479687683882,0.0615463374333,0.256267681903
毛利率,0.457616127244,0.489481415186,0.494848842102,0.581025624191,0.338423535674
营业利润率,0.108335838395,0.0704189779427,0.0785025640811,0.259085286607,0.147265217663
净利增长率,0.0499866342449,0.350644741306,-0.674981529857,-0.380111628297,0.186423361916
净资本增长率,1.23213082335,0.275393575563,0.0431564707587,1.13589682408,0.287242270519
现金流量比率,0.0,0.334774421802,0.0689447716417,0.0,0.0862884793126
现金再投资比率,0.0,0.139755718836,0.0,0.0,-0.0088011934416
