,2017,2016,2015,2014,2013
负债占资产比率(%),0.303439574063,0.263588034024,0.268230491296,0.0612036456581,0.260112867242
长期资金占不动产及设备比率(%),0.0,0.0,0.0,2.45226141995,0.0
流动比率(%),3.06751642006,3.64509035725,3.66567679046,10.3525164739,2.98586290615
速动比率(%),1.97945118785,2.52043024243,2.71954997246,5.17851545487,2.58617541247
应收款项周转率,0.931197164038,1.33548183636,0.0,0.836780018514,2.99152853534
应收款项周转天数,386.599115529,269.565628074,0.0,430.220598048,120.339818172
存货周转率,0.479566684872,0.687158299894,0.50179431524,3.06051137944,9.39748150222
存货周转天数,750.677666645,523.896749927,717.425425253,117.62740123,38.3081360591
固定资产周转率,13.3193132801,15.280286464,11.1765713856,0.903957122021,2.8319649574
总资产周转率,0.20870748797,0.296420067627,0.195998796965,0.235302061789,0.490783793011
ROA=资产收益率,0.0320614149719,0.0671821963518,0.0156501123791,0.0201096747469,0.0803329176851
净资产收益率,0.0448016637339,0.0915049752577,0.016994110605,0.0284364316197,0.111219105109
ROA=税前纯益占实收资本比率,0.221275388865,0.40053548374,0.363030648011,0.480541582139,0.416173016038
毛利率,0.337695243513,0.40957111923,0.485444091198,0.581025624191,0.338423535674
营业利润率,0.184020116328,0.22041775615,0.239658386771,0.259085286607,0.147265217663
净利率,0.15367512718553092,0.1891533630798329,0.24578570442738448,0.3219403375836432,0.19115831801085678
营业费用率,0.15367512718553092,0.1891533630798329,0.24578570442738448,0.3219403375836432,0.19115831801085678
经营安全边际率,0.5449295477580256,0.5381672334823527,0.493688956392812,0.44591025906620213,0.43515063859253394
EPS=基本每股收益,0.182730036658,0.351164898156,0.307415019236,0.409600988864,0.364115271336
营收增长率,-0.23228365891,0.140935945369,-0.0479687683882,0.0615463374333,0.256267681903
毛利率,0.337695243513,0.40957111923,0.485444091198,0.581025624191,0.338423535674
营业利润率,0.184020116328,0.22041775615,0.239658386771,0.259085286607,0.147265217663
净利增长率,-0.479646064805,0.14231535931,-0.674981529857,-0.380111628297,0.186423361916
净资本增长率,0.089796206046,0.0909774224469,0.0431564707587,1.13589682408,0.287242270519
现金流量比率,0.0,0.0352307987942,0.0,0.0,0.0862884793126
现金再投资比率,0.0,0.0,0.0,0.0,-0.0088011934416
