,2017,2016,2015,2014,2013
负债占资产比率(%),0.210748225443,0.216691595154,0.2935749558,0.0612036456581,0.260112867242
长期资金占不动产及设备比率(%),0.0,0.0,0.0,2.45226141995,0.0
流动比率(%),3.68415118083,3.65082726309,2.77391700135,10.3525164739,2.98586290615
速动比率(%),3.0865973114,2.87558357349,2.29952226319,5.17851545487,2.58617541247
应收款项周转率,0.0,0.0,0.0,0.836780018514,2.99152853534
应收款项周转天数,0.0,0.0,0.0,430.220598048,120.339818172
存货周转率,2.70756006991,3.28059907617,0.50179431524,3.06051137944,9.39748150222
存货周转天数,132.961038981,109.7360548,717.425425253,117.62740123,38.3081360591
固定资产周转率,3.4040157407,4.37672231658,5.02058402781,0.903957122021,2.8319649574
总资产周转率,0.47189331691,0.605941071657,0.195998796965,0.235302061789,0.490783793011
ROA=资产收益率,0.014995968201,0.0269181042559,0.0156501123791,0.0201096747469,0.0803329176851
净资产收益率,0.0190720728484,0.036216009504,0.016994110605,0.0284364316197,0.111219105109
ROA=税前纯益占实收资本比率,0.188661849268,0.348805973659,0.465084847805,0.480541582139,0.416173016038
毛利率,0.250206691,0.250322484299,0.254984102433,0.581025624191,0.338423535674
营业利润率,0.0154061489195,0.0455892117809,0.0644465309018,0.259085286607,0.147265217663
净利率,0.23480054207998916,0.2047332725181774,0.19053757153153322,0.3219403375836432,0.19115831801085678
营业费用率,0.23480054207998916,0.2047332725181774,0.19053757153153322,0.3219403375836432,0.19115831801085678
经营安全边际率,0.06157368876895574,0.182121921283224,0.25274725085511857,0.44591025906620213,0.43515063859253394
EPS=基本每股收益,0.123613134309,0.231627312033,0.363655944065,0.409600988864,0.364115271336
营收增长率,-0.25396664137,-0.166951027149,-0.0479687683882,0.0615463374333,0.256267681903
毛利率,0.250206691,0.250322484299,0.254984102433,0.581025624191,0.338423535674
营业利润率,0.0154061489195,0.0455892117809,0.0644465309018,0.259085286607,0.147265217663
净利增长率,-0.466327467067,-0.363059188739,-0.674981529857,-0.380111628297,0.186423361916
净资本增长率,-0.000809503128532,-0.0799835932668,0.0431564707587,1.13589682408,0.287242270519
现金流量比率,0.284651284791,0.173840196749,0.0627614049251,0.0,0.0862884793126
现金再投资比率,0.0590314961971,0.0244187093225,-0.0299868222384,0.0,-0.0088011934416
