,2017,2016,2015,2014,2013
负债占资产比率(%),0.0436774969073,0.0510536919647,0.0729988550544,0.0612036456581,0.260112867242
长期资金占不动产及设备比率(%),0.0,0.0,0.0,2.45226141995,0.0
流动比率(%),20.4758086175,17.6025035318,12.5287221543,10.3525164739,2.98586290615
速动比率(%),20.4103848393,17.5678830288,12.5072833129,5.17851545487,2.58617541247
应收款项周转率,0.0,0.0,0.0,0.836780018514,2.99152853534
应收款项周转天数,0.0,0.0,0.0,430.220598048,120.339818172
存货周转率,238.887823757,224.143122881,0.50179431524,3.06051137944,9.39748150222
存货周转天数,1.50698346336,1.60611664267,717.425425253,117.62740123,38.3081360591
固定资产周转率,5.67632937159,6.75054163636,4.43928386568,0.903957122021,2.8319649574
总资产周转率,0.290152914215,0.379475099275,0.195998796965,0.235302061789,0.490783793011
ROA=资产收益率,0.0655591831088,0.12102954521,0.0156501123791,0.0201096747469,0.0803329176851
净资产收益率,0.0688154820157,0.128953302727,0.016994110605,0.0284364316197,0.111219105109
ROA=税前纯益占实收资本比率,0.296744746042,0.479936759833,0.734110119167,0.480541582139,0.416173016038
毛利率,0.526616329207,0.545218155216,0.719167696475,0.581025624191,0.338423535674
营业利润率,0.252118697715,0.291912835842,0.355386157477,0.259085286607,0.147265217663
净利率,0.2744976314916258,0.2533053193738532,0.3637815389980624,0.3219403375836432,0.19115831801085678
营业费用率,0.2744976314916258,0.2533053193738532,0.3637815389980624,0.3219403375836432,0.19115831801085678
经营安全边际率,0.47875214597878435,0.535405567568301,0.49416312665196327,0.44591025906620213,0.43515063859253394
EPS=基本每股收益,0.2641060085,0.457292552083,0.637582683667,0.409600988864,0.364115271336
营收增长率,-0.184759634431,0.435058061906,-0.0479687683882,0.0615463374333,0.256267681903
毛利率,0.526616329207,0.545218155216,0.719167696475,0.581025624191,0.338423535674
营业利润率,0.252118697715,0.291912835842,0.355386157477,0.259085286607,0.147265217663
净利增长率,-0.422457227224,0.434457251736,-0.674981529857,-0.380111628297,0.186423361916
净资本增长率,0.0254362853769,0.111527313213,0.0431564707587,1.13589682408,0.287242270519
现金流量比率,1.27571524452,2.28439137683,1.66527433796,0.0,0.0862884793126
现金再投资比率,0.0228482253992,0.0,0.084237563124,0.0,-0.0088011934416
