,2017,2016,2015,2014,2013
负债占资产比率(%),0.572325633557,0.544208265775,0.778383585624,0.786569254566,0.819536292364
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.49581140958,1.28404563401,1.35539597114,1.30001611248,1.59607227236
速动比率(%),0.366134044024,0.33527475145,0.0406994286751,0.0968772343973,0.127578173278
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.0443902252474,0.401083150182,0.30741973925,0.170102262361,0.148499922638
存货周转天数,8109.89351808,897.569493599,1171.03736045,2116.37396825,2424.24368717
固定资产周转率,0.998148396485,8.53284292001,11.0615298359,6.65864714758,3.95634434254
总资产周转率,0.0416006776087,0.335833522698,0.306645794661,0.179799336211,0.195904591854
ROA=资产收益率,0.00839721685209,0.0689986486065,0.0,0.0220707869178,0.00512808957802
净资产收益率,0.0190440208712,0.213536173124,0.0,0.112428675365,0.0253402196183
ROA=税前纯益占实收资本比率,0.0185037659659,0.399861115789,0.0,0.313537822494,0.179286214607
毛利率,0.479391949323,0.20423853189,0.190973773903,0.229948728108,0.417408506757
营业利润率,0.0,0.174508336635,0.0,0.153104208017,0.085779763464
净利率,0.4793919493230854,0.029730195255182834,0.190973773902866,0.07684452009192522,0.3316287432934924
营业费用率,0.4793919493230854,0.029730195255182834,0.190973773902866,0.07684452009192522,0.3316287432934924
经营安全边际率,0.0,0.8544339553362144,0.0,0.6658188948290847,0.20550554690498665
EPS=基本每股收益,0.0458591295497,0.410048205019,0.0,0.247697481377,0.0576751042212
营收增长率,-0.886165876519,-0.257109107505,0.331378331243,-0.0841708638054,0.26349417223
毛利率,0.479391949323,0.20423853189,0.190973773903,0.229948728108,0.417408506757
营业利润率,0.0,0.174508336635,0.0,0.153104208017,0.085779763464
净利增长率,-0.888161613712,0.0,0.0,3.29470366324,0.452599286203
净资本增长率,0.12001536531,-0.234874461683,-0.375851014354,-0.0745254815396,0.0757340811394
现金流量比率,0.0653153461792,0.492792920769,0.0654662127247,0.0,0.0236122415874
现金再投资比率,0.0434312997084,0.477037250273,-0.110761448588,0.0,-0.0860996187267
