,2017,2016,2015,2014,2013
负债占资产比率(%),0.500684821629,0.517743016731,0.546217153558,0.54860632593,0.722582297287
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.38048533113,1.35345687268,1.3615721106,1.37961267876,1.28732644671
速动比率(%),0.538003751083,0.665654867996,0.68471103428,0.684268605765,1.04390919158
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.500625791578,0.667732138236,0.689760241405,0.65732198237,0.834808196158
存货周转天数,719.099986569,539.138345132,521.920485394,547.676800191,431.236781882
固定资产周转率,2.16551440957,2.89544871723,2.80414103884,2.92281462062,3.05806800077
总资产周转率,0.252400154406,0.356814102168,0.377477104429,0.245224864592,0.217025730417
ROA=资产收益率,0.0,0.0042788586104,0.00317779954067,0.0040383060492,0.00888402990014
净资产收益率,0.0,0.00914963966678,0.00702137734125,0.0120482254231,0.0329092800804
ROA=税前纯益占实收资本比率,0.0,0.0197840585278,0.0266503794722,0.0515585904167,0.106184238361
毛利率,0.373377344593,0.437232574026,0.454888243594,0.541417987169,0.498588078336
营业利润率,0.0,0.0124455643383,0.0199799006509,0.0303209503416,0.0160901900124
净利率,0.3733773445927087,0.42478700968813826,0.43490834294262065,0.5110970368276955,0.4824978883240173
营业费用率,0.3733773445927087,0.42478700968813826,0.43490834294262065,0.5110970368276955,0.4824978883240173
经营安全边际率,0.0,0.028464403334952572,0.04392265777876659,0.05600285003479911,0.0322715097120663
EPS=基本每股收益,0.0,0.0144680586667,0.0110131533611,0.0210605379167,0.0625804045556
营收增长率,-0.315967044475,-0.0777502810235,-0.127092081022,-0.180856636544,0.0683445070826
毛利率,0.373377344593,0.437232574026,0.454888243594,0.541417987169,0.498588078336
营业利润率,0.0,0.0124455643383,0.0199799006509,0.0303209503416,0.0160901900124
净利增长率,0.0,0.313707181973,-0.477071601652,-0.663464337339,-0.38101876333
净资本增长率,-0.0148593258239,-0.050216916249,0.00157144671391,-0.502984112573,-0.0215414984296
现金流量比率,0.0,0.212456313269,0.00124009288544,1.07866296335,0.00869186127047
现金再投资比率,0.0,0.148082684475,-0.0330565419261,0.845525589843,-0.00682810178877
