,2017,2016,2015,2014,2013
负债占资产比率(%),0.333857751426,0.377267394969,0.460617077409,0.386432698918,0.29462481323
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.41562602893,0.903087950081,0.201206759422,2.24465801327,2.99677692458
速动比率(%),1.34214571331,0.875598879101,0.103561213152,0.391835029326,0.517320085459
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,20.8556550738,8.10605669113,2.04439375843,0.689582509643,0.632831731962
存货周转天数,17.2615052716,44.4112364022,176.09132219,522.055004247,568.87160017
固定资产周转率,1.38085776997,1.92103866146,5.186452559,19.8945382211,14.2454319638
总资产周转率,0.258786862957,0.39781508918,1.01434281158,0.44670363932,0.405563865336
ROA=资产收益率,0.0800512347766,0.110930735215,0.106188125467,0.0153719904738,0.0220451463344
净资产收益率,0.12410076956,0.190636905858,0.183082313104,0.0234292801739,0.0293656853384
ROA=税前纯益占实收资本比率,0.308892808443,0.41175535678,0.452105658694,0.0562510351852,0.0734791064344
毛利率,0.528134828681,0.534721836848,0.28443966138,0.0857009102694,0.114559671324
营业利润率,0.401219057548,0.365344426849,0.147567426922,0.0392885505993,0.0533777241304
净利率,0.12691577113320196,0.16937740999887047,0.1368722344585595,0.0464123596700744,0.06118194719391053
营业费用率,0.12691577113320196,0.16937740999887047,0.1368722344585595,0.0464123596700744,0.06118194719391053
经营安全边际率,0.7596905861139703,0.6832420179485782,0.5188004591399483,0.45843796146165255,0.4659381745196919
EPS=基本每股收益,0.237354293911,0.313328420465,0.324787471343,0.047966574796,0.059105150408
营收增长率,-0.317123553113,-0.637822822051,1.22576842954,0.281906935039,0.124464145321
毛利率,0.528134828681,0.534721836848,0.28443966138,0.0857009102694,0.114559671324
营业利润率,0.401219057548,0.365344426849,0.147567426922,0.0392885505993,0.0533777241304
净利增长率,-0.242474418506,-0.035281689997,5.77112077993,-0.188453553289,-0.379173070914
净资本增长率,0.0581113882386,0.0410223044036,-0.173661081638,0.158438704039,0.170177810709
现金流量比率,0.886055058459,1.3347788,0.590200950138,0.130300551063,0.0
现金再投资比率,0.120716942041,0.180735795797,0.481330541229,0.0561701650475,0.0
