,2017,2016,2015,2014,2013
负债占资产比率(%),0.481998014508,0.470300167674,0.437942642737,0.436158161627,0.422414638153
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.74769405419,1.77700361022,1.85376597016,1.95627302636,2.15732337307
速动比率(%),1.37503268756,1.45679558436,1.56405441331,1.72198588988,1.88804516267
应收款项周转率,1.07623222421,2.23357899525,2.05861956338,2.03643573813,2.9182125617
应收款项周转天数,334.500298264,161.176300801,174.874467534,176.779455035,123.36318633
存货周转率,2.70777673,7.07906621666,7.59404711097,7.29049270772,8.02363940466
存货周转天数,132.950400235,50.8541647983,47.4055526308,49.3793786556,44.8674201125
固定资产周转率,4.3817262146,9.80328005615,8.58382134005,8.01110186225,12.3009184217
总资产周转率,0.358104696124,0.618786244261,0.592160012088,0.558877763814,0.709006795595
ROA=资产收益率,0.0253106022343,0.0449828776527,0.048275065444,0.0491460784772,0.054152416492
净资产收益率,0.0483312983787,0.0825517537311,0.0857600663827,0.0861669624566,0.0986701460265
ROA=税前纯益占实收资本比率,0.264580559609,0.443281931998,0.420497188847,0.394311322082,0.32466466565
毛利率,0.140275960712,0.135123179345,0.141566451009,0.147526423141,0.115336063475
营业利润率,0.0775873549388,0.07374210478,0.082331189105,0.087961826163,0.0649338294967
净利率,0.06268860577307689,0.06138107456484772,0.05923526190370536,0.059564596977600096,0.050402233978320735
营业费用率,0.06268860577307689,0.06138107456484772,0.05923526190370536,0.059564596977600096,0.050402233978320735
经营安全边际率,0.5531051403608939,0.5457398585315113,0.5815727421177423,0.5962445526057956,0.5629967552235693
EPS=基本每股收益,0.23899027572,0.389593105352,0.375624662386,0.346851108032,0.310263379612
营收增长率,-0.369067223389,0.16314638179,0.168151732477,-0.0290251708756,0.127352856156
毛利率,0.140275960712,0.135123179345,0.141566451009,0.147526423141,0.115336063475
营业利润率,0.0775873549388,0.07374210478,0.082331189105,0.087961826163,0.0649338294967
净利增长率,-0.386564411852,0.0371872359954,0.0829565011863,0.117924740151,0.198434487855
净资本增长率,0.0566935496937,0.12803682065,0.0967111908672,0.108910777916,0.40439402115
现金流量比率,0.0,0.135028268018,0.0291860955267,0.0643314226451,0.0249699984383
现金再投资比率,0.0,0.0761130115449,0.000395370656344,0.0197140853547,-0.00653986115398
