,2017,2016,2015,2014,2013
负债占资产比率(%),0.441723634044,0.310028276573,0.251906171484,0.244092569611,0.25867462649
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),3.99167252122,3.82989637649,3.35191861326,1.00214776874,1.5895420462
速动比率(%),2.09977060963,2.09396932413,1.9831018172,0.866653328423,1.05878951812
应收款项周转率,0.0,0.0,0.0,4.45411050449,4.6100286094
应收款项周转天数,0.0,0.0,0.0,80.8242183568,78.0906216647
存货周转率,0.236948995525,0.526387013167,1.67451824312,28.0796611127,23.2167545926
存货周转天数,1519.31431151,683.907450212,214.987206905,12.8206675485,15.5060432139
固定资产周转率,31.9907495349,70.4306088429,88.2256719802,0.852839918444,1.02685443758
总资产周转率,0.0985617213298,0.237190804082,0.611709631551,0.36862798322,0.4653309581
ROA=资产收益率,0.013040364435,0.061264215177,0.0974620407685,0.00688958921797,0.00548184415805
净资产收益率,0.021205845385,0.086933109029,0.130095889581,0.00920355734017,0.00722518145434
ROA=税前纯益占实收资本比率,0.119903950532,0.355135131337,0.616348317949,0.0359097061583,0.0239557506415
毛利率,0.472494916817,0.542165750813,0.417877769625,0.179235167228,0.19072499776
营业利润率,0.121741244603,0.279598643039,0.199711414798,0.0537339462515,0.0304239996735
净利率,0.3507536722144674,0.26256710777424475,0.2181663548267513,0.12550122097635208,0.1603009980866682
营业费用率,0.3507536722144674,0.26256710777424475,0.2181663548267513,0.12550122097635208,0.1603009980866682
经营安全边际率,0.2576561996114079,0.5157069450060124,0.47791825580327074,0.29979577714915906,0.15951763025724822
EPS=基本每股收益,0.111352714506,0.301691404271,0.418842087172,0.0126996130941,0.00988813268354
营收增长率,-0.279447797574,0.319752349624,5.07552633407,-0.190464469818,0.00219581588948
毛利率,0.472494916817,0.542165750813,0.417877769625,0.179235167228,0.19072499776
营业利润率,0.121741244603,0.279598643039,0.199711414798,0.0537339462515,0.0304239996735
净利增长率,-0.630905246455,1.1394950629,50.7927608009,0.284328750486,-0.821459166886
净资本增长率,0.324079111165,1.93874692184,5.3602734636,-0.0102230559973,0.0558218448302
现金流量比率,0.0,0.0,0.0,0.118371634219,0.411585427892
现金再投资比率,0.0,0.0,0.0,0.0345399629317,0.135734090703
