,2017,2016,2015,2014,2013
负债占资产比率(%),0.730924090214,0.735789955423,0.762627989498,0.661827646042,0.399009693734
长期资金占不动产及设备比率(%),0.0,0.0,9.46036789399,7.80122839199,8.24746538263
流动比率(%),1.06642238558,1.29017231441,1.21441747576,1.37713176095,3.48377861349
速动比率(%),1.01429414901,1.25531976586,1.13330257702,1.28725231773,3.25900250211
应收款项周转率,0.490890114686,1.57935175234,2.14758669728,1.2039165985,6.00877252658
应收款项周转天数,733.361681627,227.941621914,167.630019526,299.024035759,59.912402809
存货周转率,2.03410754292,5.35994225128,6.70108518477,2.29452295912,3.08670183096
存货周转天数,176.981792951,67.1649027401,53.7226419414,156.895357516,116.629340868
固定资产周转率,0.577801995657,2.58137748325,2.49808941286,0.811410863327,1.75020796589
总资产周转率,0.0319263684452,0.122437091396,0.202409308949,0.104686686798,0.190499446199
ROA=资产收益率,0.0,0.0,0.0,0.00286768505551,0.0
净资产收益率,0.0,0.0,0.0,0.00701806177496,0.0
ROA=税前纯益占实收资本比率,0.0,0.0,0.0,0.0467108257579,0.0
毛利率,0.247128447461,0.262170286925,0.260155327072,0.49407289232,0.580392818101
营业利润率,0.0,0.381706600446,0.0,0.0215842410582,0.0
净利率,0.2471284474611928,-0.11953631352138183,0.2601553270723618,0.4724886512618835,0.5803928181014216
营业费用率,0.2471284474611928,-0.11953631352138183,0.2601553270723618,0.4724886512618835,0.5803928181014216
经营安全边际率,0.0,1.4559491272767113,0.0,0.0436863495117976,0.0
EPS=基本每股收益,0.0,0.0,0.0,0.0191427788235,0.0
营收增长率,-0.79090551668,-0.41151568243,2.17383790998,0.0933587072254,-0.280175645766
毛利率,0.247128447461,0.262170286925,0.260155327072,0.49407289232,0.580392818101
营业利润率,0.0,0.381706600446,0.0,0.0215842410582,0.0
净利增长率,0.0,0.0,0.0,0.0,0.0
净资本增长率,-0.137155437334,-0.244207345697,0.242597515784,1.73095139838,0.142556141686
现金流量比率,0.037950585024,0.0,0.126237734418,0.0366051275495,0.26361479847
现金再投资比率,0.00627320882451,0.0,0.0348351583235,0.00532337334038,-0.113501481092
