,2017,2016,2015,2014,2013
负债占资产比率(%),0.620076552793,0.631604064453,1.27961445982,0.99607041133,0.862707972245
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.903149142993,0.879095890884,0.220557579674,0.526556274604,0.787348312977
速动比率(%),0.74367897717,0.822652540532,0.148253863882,0.438635720376,0.542944667551
应收款项周转率,7.46746842316,12.080825301,5.16802595989,3.67128618053,4.41793909326
应收款项周转天数,48.2091091117,29.7992886274,69.6590928131,98.0582777526,81.4859581359
存货周转率,112.390760958,51.562044866,10.0753348295,7.18303457851,8.43713898507
存货周转天数,3.20311026396,6.98187980977,35.7308224581,50.1180936922,42.6684923215
固定资产周转率,1.07901847836,0.953886671538,1.19315637676,1.38230644951,1.99220555036
总资产周转率,0.637070543323,0.993238654099,0.674034411813,0.561513798982,0.828073109959
ROA=资产收益率,0.0520645944667,0.104941071051,0.0,0.0,0.00487399156315
净资产收益率,0.139034707424,0.0,0.0,0.0,0.0314451911394
ROA=税前纯益占实收资本比率,0.362372196221,0.395517608864,0.0,0.0,0.0247806455641
毛利率,0.163571093924,0.227713943328,-0.165732595358,-0.160037908944,0.0465085051957
营业利润率,0.118816766497,0.126531214093,0.0,0.0,0.0
净利率,0.044754327427709545,0.10118272923557939,-0.16573259535763465,-0.16003790894369435,0.04650850519569707
营业费用率,0.044754327427709545,0.10118272923557939,-0.16573259535763465,-0.16003790894369435,0.04650850519569707
经营安全边际率,0.7263921983159578,0.5556586138001911,-0.0,-0.0,0.0
EPS=基本每股收益,0.268655367881,0.294914022908,0.0,0.0,0.0247806455641
营收增长率,0.17770634121,3.38346756973,-0.197850592118,-0.342137248961,0.0013526341645
毛利率,0.163571093924,0.227713943328,-0.165732595358,-0.160037908944,0.0465085051957
营业利润率,0.118816766497,0.126531214093,0.0,0.0,0.0
净利增长率,-0.0890383399471,0.0,0.0,0.0,-0.405665777155
净资本增长率,0.114548972676,5.59480762314,-0.356133031124,-0.315062994254,0.357291777708
现金流量比率,0.16796136468,0.372692190114,0.0707121209493,0.0322696948912,0.0
现金再投资比率,0.112340926852,0.217912076687,-0.295954142515,0.253882561591,0.0
