,2017,2016,2015,2014,2013
负债占资产比率(%),0.598443132101,0.541823163874,0.692422518724,0.739922821918,0.752872175264
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.84184047212,0.898541089449,0.792213737053,0.746884702612,0.614322050764
速动比率(%),0.81890090019,0.868092204003,0.774673027623,0.720506452563,0.603981119909
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,278.737632374,1104.43831661,521.61225647,444.66905297,355.536765985
存货周转天数,1.29153712376,0.325957542932,0.69016783163,0.809590857731,1.01255350907
固定资产周转率,0.679604691448,0.700249741401,0.608630741135,0.716639179484,0.73749817006
总资产周转率,0.261300842068,0.297436020201,0.284807354664,0.320013661129,0.308481625265
ROA=资产收益率,0.0192004095925,0.0249347661673,0.0263357694644,0.0234626799054,0.0215114352318
净资产收益率,0.0450913331856,0.0640760016768,0.0926814248115,0.0923218723036,0.0852923882139
ROA=税前纯益占实收资本比率,0.248142640895,0.24171974257,0.321274054188,0.263715153821,0.219390499994
毛利率,0.168412161886,0.229056842092,0.268819048643,0.231409998693,0.222623248003
营业利润率,0.0825351870403,0.0738676040418,0.0861511761429,0.0693226854648,0.0749293730134
净利率,0.08587697484520633,0.15518923805002838,0.1826678724997579,0.1620873132281303,0.14769387498982012
营业费用率,0.08587697484520633,0.15518923805002838,0.1826678724997579,0.1620873132281303,0.14769387498982012
经营安全边际率,0.4900785437123633,0.3224859094677129,0.32048017645290255,0.2995665090375858,0.33657479030353327
EPS=基本每股收益,0.197547500553,0.202910844383,0.267378290687,0.216927312365,0.173050443673
营收增长率,0.110729573852,0.15479412478,-0.0227038397286,0.192264212244,0.0472425040058
毛利率,0.168412161886,0.229056842092,0.268819048643,0.231409998693,0.222623248003
营业利润率,0.0825351870403,0.0738676040418,0.0861511761429,0.0693226854648,0.0749293730134
净利增长率,-0.026432021639,0.0469392748671,0.232570891015,0.253549587976,0.0839025864985
净资本增长率,0.334395218944,0.181548630083,0.0278662823817,0.181059101434,0.113922179868
现金流量比率,0.142556641324,0.373755531159,0.421708294289,0.155778606231,0.196903123844
现金再投资比率,0.0288753001333,0.0751269793326,0.0828139216365,0.0228622541803,0.0547096105396
