,2017,2016,2015,2014,2013
负债占资产比率(%),0.484969160296,0.432835614883,0.432701947459,0.440978239543,0.486857415353
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.34142967568,1.18331824283,0.958219056909,1.07478134581,0.872217151537
速动比率(%),0.809816193413,0.582622022327,0.526920964973,0.635472439058,0.518136844588
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,1.20173810471,1.98999431042,2.22875953453,2.01141028258,2.30465688278
存货周转天数,299.56610229,180.905039836,161.52482779,178.978900087,156.205464983
固定资产周转率,1.15097587927,1.68805220753,1.60302007761,1.19884261026,1.97353351756
总资产周转率,0.258740230566,0.408973957277,0.411659688928,0.361026953107,0.460878384837
ROA=资产收益率,0.0208369775778,0.0135105510177,0.0408549915639,0.056044130863,0.105589554179
净资产收益率,0.0386838261536,0.023818399496,0.0725366491277,0.103903531676,0.22629670713
ROA=税前纯益占实收资本比率,0.111723221344,0.0716030760423,0.206382824707,0.472312569029,0.814398444297
毛利率,0.133990894209,0.116151650135,0.124427035918,0.124489449075,0.0759221333188
营业利润率,0.0813493513375,0.0185342428539,0.0885601077417,0.151275279963,0.191027958257
净利率,0.05264154287115498,0.09761740728136581,0.03586692817587511,-0.026785830887457993,-0.11510582493835034
营业费用率,0.05264154287115498,0.09761740728136581,0.03586692817587511,-0.026785830887457993,-0.11510582493835034
经营安全边际率,0.6071259679094934,0.15956934604303852,0.7117432886559925,1.2151654705395487,2.516103669728935
EPS=基本每股收益,0.109381792036,0.0647153255206,0.193683273895,0.456344369171,0.809399742723
营收增长率,-0.306662741945,0.00379354406524,0.327740325858,-0.0982265232902,0.193724705878
毛利率,0.133990894209,0.116151650135,0.124427035918,0.124489449075,0.0759221333188
营业利润率,0.0813493513375,0.0185342428539,0.0885601077417,0.151275279963,0.191027958257
净利增长率,0.690199209473,-0.665870344821,-0.151153002076,-0.388982915114,0.206791092015
净资本增长率,0.20741446901,-0.0140240053763,0.0356654917353,0.336534787799,-0.0288267263852
现金流量比率,0.0604683522848,0.0,0.0,0.0,0.014600457465
现金再投资比率,0.00772928610285,0.0,0.0,0.0,-0.0733298094431
