,2017,2016,2015,2014,2013
负债占资产比率(%),0.439693886414,0.414150400025,0.397230495553,0.361624540345,0.395720177926
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.92695938473,1.86097089807,1.90022289051,2.04619416002,1.86556402832
速动比率(%),1.56194199821,1.58535801067,1.53635422931,1.57990721463,1.373403593
应收款项周转率,2.97449750517,3.53117536189,4.0750984082,3.95098219467,4.06912326132
应收款项周转天数,121.028845838,101.949057497,88.341424903,91.1165837411,88.471146456
存货周转率,3.9269570713,5.0521437991,4.7114548385,3.37842305448,3.14305640319
存货周转天数,91.6740350006,71.2568791221,76.4095194245,106.558590856,114.538192708
固定资产周转率,3.33816269423,4.02018068644,4.13544137051,3.53880953091,4.02502665624
总资产周转率,0.629885762595,0.821951790484,0.897111996891,0.737116565521,0.748387235292
ROA=资产收益率,0.0568932138751,0.086616396354,0.0755475338485,0.0666051847476,0.0547138286375
净资产收益率,0.0993583711382,0.145857843955,0.12196151853,0.107176179563,0.0910251567689
ROA=税前纯益占实收资本比率,0.267187322837,0.376036107578,0.294704300094,0.350828664057,0.448825694908
毛利率,0.242702405374,0.275361107953,0.252123010175,0.239267134215,0.207182102804
营业利润率,0.0993834604259,0.110748823684,0.0739370758853,0.0959114501639,0.0342647354626
净利率,0.1433189449475819,0.16461228426914842,0.17818593428987176,0.14335568405110122,0.17291736734123425
营业费用率,0.1433189449475819,0.16461228426914842,0.17818593428987176,0.14335568405110122,0.17291736734123425
经营安全边际率,0.40948691988851366,0.4021948651614777,0.293257945135359,0.40085509645336015,0.16538463023048536
EPS=基本每股收益,0.229475017918,0.318808415874,0.246930176789,0.30346437361,0.35898598667
营收增长率,-0.160229286494,0.0317523630414,0.309652125457,0.0259361772676,0.222204140903
毛利率,0.242702405374,0.275361107953,0.252123010175,0.239267134215,0.207182102804
营业利润率,0.0993834604259,0.110748823684,0.0739370758853,0.0959114501639,0.0342647354626
净利增长率,-0.280210287774,0.291087302576,0.220556010501,0.268006488603,0.0961480615585
净资本增长率,0.0767008995852,0.117212449837,0.136191491297,0.015067282282,0.0700385604172
现金流量比率,0.0651686091593,0.466821373244,0.299732801648,0.394567139425,0.267871444468
现金再投资比率,-0.0224412671048,0.233525219633,0.132905638156,0.169218963577,0.122758496737
