,2017,2016,2015,2014,2013
负债占资产比率(%),0.512479428297,0.510180302728,0.535842461291,0.540053593735,0.526030207977
长期资金占不动产及设备比率(%),0.0,0.0,0.0,1.09353079424,0.985723598864
流动比率(%),1.01777588865,1.11310010608,0.763133274797,1.00584438337,0.773388115897
速动比率(%),0.739310563343,0.878048410044,0.621531106743,0.862182161867,0.685996274592
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,2.33245801315,4.26962304102,6.08287817916,4.59936695769,8.39443476664
存货周转天数,154.343614321,84.3165770236,59.1825102191,78.2716411436,42.8855557292
固定资产周转率,0.145367030363,0.196192346939,0.227188776764,0.223679091435,0.206569922038
总资产周转率,0.100832148502,0.144419952015,0.177816413576,0.138463266847,0.145603113453
ROA=资产收益率,0.0241244700561,0.0298606701184,0.0194104769869,0.019427124608,0.0201180276291
净资产收益率,0.0493689155371,0.0625768855242,0.0420085570359,0.0416322245897,0.0410282188783
ROA=税前纯益占实收资本比率,0.478318312797,0.591068891651,0.415895618608,0.38557765262,0.368201736351
毛利率,0.445311848246,0.376178907009,0.302207044499,0.419204398434,0.4466681096
营业利润率,0.254347448192,0.291938790067,0.159558176608,0.192127528768,0.144961806967
净利率,0.19096440005453863,0.08424011694251549,0.1426488678915692,0.2270768696660542,0.30170630263290216
营业费用率,0.19096440005453863,0.08424011694251549,0.1426488678915692,0.2270768696660542,0.30170630263290216
经营安全边际率,0.5711670354007575,0.7760636883862662,0.5279763642573894,0.45831467772222656,0.32454031047035214
EPS=基本每股收益,0.33454004137,0.403251442312,0.257152557421,0.245146454155,0.231523961776
营收增长率,-0.283055117069,-0.172101512122,0.348263639949,0.0427266113875,0.099964574416
毛利率,0.445311848246,0.376178907009,0.302207044499,0.419204398434,0.4466681096
营业利润率,0.254347448192,0.291938790067,0.159558176608,0.192127528768,0.144961806967
净利增长率,-0.170393441242,0.568140897976,0.0489752271072,0.0588383693614,-0.55872948507
净资本增长率,0.0229748853807,0.0308780822406,0.00772537738032,0.0960738757376,0.0969563691012
现金流量比率,0.422326436538,0.491216334488,0.400243312208,0.29201982055,0.244523390849
现金再投资比率,0.0345178735045,0.0228910603422,0.0330047422474,0.0295731960417,0.0344522819972
