,2017,2016,2015,2014,2013
负债占资产比率(%),0.66640606229,0.693653758165,0.830323796898,0.749181955622,0.767992547085
长期资金占不动产及设备比率(%),0.872443493687,0.775649339101,0.0,0.0,0.0
流动比率(%),0.818242797985,0.737534679636,0.656711661339,0.738680417222,0.738255937966
速动比率(%),0.613522935845,0.564739278828,0.301292059472,0.3648865321,0.401600143136
应收款项周转率,3.83475939383,9.48795092107,2.51448219237,2.31286240552,2.59639154091
应收款项周转天数,93.8781193363,37.9428606867,143.170630157,155.651282645,138.653971994
存货周转率,6.96123982211,13.4816254191,1.19613174936,1.33717688737,1.98067262032
存货周转天数,51.7149256741,26.7030116035,300.970190109,269.223917495,181.756437842
固定资产周转率,1.74572771951,1.93200744394,0.577145972616,0.601762893481,0.881385517637
总资产周转率,0.818368951964,1.70296755471,0.284894885504,0.297414017922,0.426498793923
ROA=资产收益率,0.0555798102247,0.101383680435,0.0,0.0,0.00472705581746
净资产收益率,0.173621672844,0.351022908805,0.0,0.0,0.0204208710051
ROA=税前纯益占实收资本比率,0.479335103032,0.494721333925,0.0,0.0,0.0474284179668
毛利率,0.148077807876,0.134600790186,0.100480578525,0.14768568438,0.224841364241
营业利润率,0.0789591765286,0.0655935227059,0.0,0.0,0.0
净利率,0.06911863134743525,0.06900726747959907,0.1004805785249452,0.14768568438018007,0.22484136424085466
营业费用率,0.06911863134743525,0.06900726747959907,0.1004805785249452,0.14768568438018007,0.22484136424085466
经营安全边际率,0.5332276163536319,0.48731900173486864,0.0,0.0,0.0
EPS=基本每股收益,0.391782052479,0.405360813307,0.0,0.0,0.0560062240664
营收增长率,-0.152779338714,21.8855574863,-0.0403542488653,-0.280631736357,-0.0822572625382
毛利率,0.148077807876,0.134600790186,0.100480578525,0.14768568438,0.224841364241
营业利润率,0.0789591765286,0.0655935227059,0.0,0.0,0.0
净利增长率,-0.0334979612784,0.0,0.0,0.0,0.0869577883408
净资本增长率,0.0222867305361,5.79960012712,-0.0358609742967,0.041038046174,0.0219372060512
现金流量比率,0.0,0.0619433232384,0.0,0.0883349134868,0.0820414248502
现金再投资比率,0.0,0.0487837185765,0.0,0.0654679734054,0.034761062215
