,2017,2016,2015,2014,2013
负债占资产比率(%),0.273673122914,0.292886462979,0.323402333855,0.241892611517,0.284719815369
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.72547020876,2.46390856333,2.17519749606,2.91089851468,2.49754652397
速动比率(%),1.21211120629,1.4797230604,1.23729619806,1.65670760129,1.35215584642
应收款项周转率,2.2084610807,2.9954758105,2.74247669222,2.431626337,2.23328635943
应收款项周转天数,163.009438177,120.181240903,131.268207683,148.049062688,161.197420331
存货周转率,1.38985433832,1.83736788341,1.98185622547,1.74574204755,1.5552881797
存货周转天数,259.019949122,195.932454927,181.647889173,206.216033179,231.468357247
固定资产周转率,1.83553676905,2.43236954949,2.83215142285,2.53292713643,2.24203717749
总资产周转率,0.440342998391,0.576164997362,0.716772835404,0.680892884131,0.564956731615
ROA=资产收益率,0.0,0.0193783052218,0.0,0.0107948960129,0.0
净资产收益率,0.0,0.0280141486885,0.0,0.0146624312847,0.0
ROA=税前纯益占实收资本比率,0.0,0.0196921917002,0.0,0.0242645055815,0.0
毛利率,0.251067531054,0.25997719342,0.280851011609,0.265864983141,0.265435769123
营业利润率,0.0,0.0,0.0,0.0,0.0
净利率,0.2510675310538112,0.2599771934196364,0.28085101160928344,0.2658649831409464,0.265435769123376
营业费用率,0.2510675310538112,0.2599771934196364,0.28085101160928344,0.2658649831409464,0.265435769123376
经营安全边际率,0.0,0.0,0.0,0.0,0.0
EPS=基本每股收益,0.0,0.0229519811246,0.0,0.0246979663037,0.0
营收增长率,-0.262007521995,-0.176780276752,0.0642507366639,0.215093135201,0.139103623176
毛利率,0.251067531054,0.25997719342,0.280851011609,0.265864983141,0.265435769123
营业利润率,0.0,0.0,0.0,0.0,0.0
净利增长率,0.0,0.0,0.0,0.0,0.0
净资本增长率,-0.053082672035,-0.0159695673152,0.0668891069365,-0.0425559782284,0.0621046488202
现金流量比率,0.0,0.222290034375,0.140250859734,0.0,0.0
现金再投资比率,0.0,0.0803144869355,0.0618663532443,0.0,0.0
