,2017,2016,2015,2014,2013
负债占资产比率(%),0.547910403469,0.54413354344,0.446338791676,0.373122441015,0.307041564237
长期资金占不动产及设备比率(%),0.975137952863,0.937125479938,1.22643185569,1.43685906924,1.58096534771
流动比率(%),0.751521868887,0.657423776811,0.973803677868,1.29538361148,1.51228720923
速动比率(%),0.698678806908,0.59147555807,0.812700475304,1.15674553626,1.33779070444
应收款项周转率,2.27658561906,2.69132663669,1.92103900783,2.93812259307,5.07115503078
应收款项周转天数,158.131544444,133.763027903,187.39858927,122.527222264,70.9897445089
存货周转率,9.04216751474,8.22962138249,6.7408757117,10.0951537333,16.727071896
存货周转天数,39.8134628023,43.744418275,53.405524059,35.6606753606,21.5219975282
固定资产周转率,0.78791722344,0.718357334757,0.903482148336,1.41442656084,2.21703273315
总资产周转率,0.357198339198,0.343777981354,0.291227637156,0.473198225805,0.69827431632
ROA=资产收益率,0.0235457063489,0.0,0.0,0.0061419627723,0.0754033533233
净资产收益率,0.0518714030514,0.0,0.0,0.00931820259381,0.11479370146
ROA=税前纯益占实收资本比率,0.194058454985,0.0,0.0,0.0648002276926,0.699955760736
毛利率,0.352809279641,0.065281554748,0.0298334038486,0.250192135154,0.298704677599
营业利润率,0.0828254951524,0.0,0.0,0.0390610817938,0.148705263237
净利率,0.26998378448838756,0.06528155474801846,0.02983340384860437,0.21113105336053292,0.14999941436213818
营业费用率,0.26998378448838756,0.06528155474801846,0.02983340384860437,0.21113105336053292,0.14999941436213818
经营安全边际率,0.23475996786920464,0.0,0.0,0.1561243392790775,0.497833728056335
EPS=基本每股收益,0.147646276489,0.0,0.0,0.0406133685515,0.504324827503
营收增长率,0.0335885148557,0.120396272035,-0.381847063799,-0.330024096097,-0.127620275295
毛利率,0.352809279641,0.065281554748,0.0298334038486,0.250192135154,0.298704677599
营业利润率,0.0828254951524,0.0,0.0,0.0390610817938,0.148705263237
净利增长率,0.0,0.0,0.0,-0.919469821161,-0.355714734441
净资本增长率,0.0582203522341,-0.0646091548174,-0.0376459941663,0.0484833569644,-0.0671664409973
现金流量比率,0.0734920156881,0.0372670550995,0.0,0.0215466057702,0.189883628368
现金再投资比率,0.0538543668234,0.0152417654679,0.0,-0.0313741514102,0.00308097747179
