,2017,2016,2015,2014,2013
负债占资产比率(%),0.500572556214,0.611401426186,0.665482105194,0.674325273936,0.622067290178
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.813406184587,0.822938574486,0.760874977593,0.768674911901,0.871182795888
速动比率(%),0.310816425303,0.177542048587,0.197278337714,0.140648372157,0.12998323945
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.945390324204,0.428815223237,0.342927706423,0.212038118656,0.253971108603
存货周转天数,380.79509678,839.52243412,1049.78394355,1697.80793322,1417.48406731
固定资产周转率,1.46737322545,1.09183587535,1.12601697596,0.69468197772,0.640460979152
总资产周转率,0.358792457697,0.247958907225,0.196062522259,0.146219366397,0.172586123211
ROA=资产收益率,0.048289024467,0.0353518110348,0.0228039182882,0.0154640845971,0.0334219200942
净资产收益率,0.109984778592,0.0980977987452,0.0690646452926,0.0442333026638,0.0815383830497
ROA=税前纯益占实收资本比率,0.323778407308,0.248572372889,0.174614467551,0.199877153825,0.346639617827
毛利率,0.30363529309,0.434205612795,0.409931091361,0.481546463312,0.503133546077
营业利润率,0.197015102173,0.229023185064,0.169999271079,0.141382295904,0.253846490452
净利率,0.10662019091648622,0.2051824277309917,0.23993182028198778,0.34016416740834843,0.24928705562530262
营业费用率,0.10662019091648622,0.2051824277309917,0.23993182028198778,0.34016416740834843,0.24928705562530262
经营安全边际率,0.6488544206057695,0.5274533039535771,0.41470206740035703,0.2936005280393622,0.5045310383914575
EPS=基本每股收益,0.220984928659,0.184343462852,0.121757685009,0.149346883204,0.260043672145
营收增长率,0.269877243682,0.235134624693,0.482636347151,0.0516133176046,0.0118570654679
毛利率,0.30363529309,0.434205612795,0.409931091361,0.481546463312,0.503133546077
营业利润率,0.197015102173,0.229023185064,0.169999271079,0.141382295904,0.253846490452
净利增长率,0.198767372816,0.514019117873,0.630535333539,-0.425685378258,-0.000937722609286
净资本增长率,-0.164342095492,-0.0839740078961,0.0396317571539,0.183964998581,0.316660262222
现金流量比率,0.0510676964609,0.0787011557867,0.393748779513,0.0714610858264,0.0
现金再投资比率,-0.00613358045244,0.0447912396453,0.485197271045,0.0364943554323,0.0
