,2017,2016,2015,2014,2013
负债占资产比率(%),0.547418596675,0.557552688978,0.62417808572,0.630788726805,0.625538241695
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.726075888097,0.646378706179,0.558885195492,0.798920396394,0.551928854264
速动比率(%),0.51068780662,0.459477888352,0.390329574692,0.609757100859,0.433190424741
应收款项周转率,6.98626790785,12.5323308116,16.680074289,17.6403686876,0.0
应收款项周转天数,51.5296585743,28.7257019794,21.5826376887,20.4077367302,0.0
存货周转率,20.5434531181,26.9547205922,24.601035579,23.3507829166,25.537588982
存货周转天数,17.5238309709,13.3557310961,14.633530318,15.417041959,14.0968671809
固定资产周转率,0.318418592394,0.373449046364,0.547067596117,0.620089628747,0.61524294601
总资产周转率,0.235536600776,0.299907549396,0.381787342256,0.432810219703,0.46470745255
ROA=资产收益率,0.00768942392706,0.00270744246262,0.00813208338191,0.011096108916,0.0023172947896
净资产收益率,0.0171843642636,0.00657183569516,0.0218298424734,0.0298435664349,0.00561960695718
ROA=税前纯益占实收资本比率,0.0933977318894,0.045866866516,0.164452362631,0.129937937718,0.00909573207034
毛利率,0.16178032134,0.104195299534,0.0989325236208,0.0897613337483,0.0638297930799
营业利润率,0.0426280743193,0.0,0.0353071261851,0.000996407510049,0.0
净利率,0.1191522470207576,0.10419529953363334,0.06362539743579133,0.0887649262382722,0.06382979307989135
营业费用率,0.1191522470207576,0.10419529953363334,0.06362539743579133,0.0887649262382722,0.06382979307989135
经营安全边际率,0.26349356934269214,0.0,0.3568808809564503,0.01110063173574302,0.0
EPS=基本每股收益,0.0755460402087,0.02474126297,0.0861919882957,0.116222151364,0.0219516620247
营收增长率,-0.1556426731,-0.139950556395,-0.107371198461,0.0297930264347,0.180313682264
毛利率,0.16178032134,0.104195299534,0.0989325236208,0.0897613337483,0.0638297930799
营业利润率,0.0426280743193,0.0,0.0353071261851,0.000996407510049,0.0
净利增长率,2.05344316094,-0.635485373252,-0.258385881829,4.29445794279,-0.03708805083
净资本增长率,-0.0187895790017,0.1865382724,0.00290970647763,0.0211239100922,0.207823583019
现金流量比率,0.200056785775,0.130467744215,0.215726414019,0.169260383016,0.0503893547385
现金再投资比率,0.0363832141286,0.0253959080747,0.0624657339698,0.0476058724701,0.0149002914853
