,2017,2016,2015,2014,2013
负债占资产比率(%),0.588089324979,0.653489245508,0.66067119524,1.10846865254,1.03611055747
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.28975676643,1.07090472715,1.04832709581,0.498172834723,0.512030416364
速动比率(%),0.726392108913,0.818810104723,0.836666349566,0.365885973236,0.407048372166
应收款项周转率,1.38156469203,1.93455213156,2.72558084791,2.50965895388,3.7038885548
应收款项周转天数,260.574117213,186.089583282,132.081937792,143.445785509,97.1951490098
存货周转率,2.446668307,4.72054929041,7.04423778505,6.13443185005,5.85156912966
存货周转天数,147.13886593,76.2623114076,51.1056002062,58.6851413138,61.5219596698
固定资产周转率,3.1214783297,2.94773842108,2.8961917573,1.97588802707,1.93298427328
总资产周转率,0.475943575235,0.759182654654,1.08786067269,0.783372352199,0.864585249519
ROA=资产收益率,0.0276582859535,0.0160226102775,0.0391750534983,0.0,0.0
净资产收益率,0.0732497673207,0.0467199348405,0.0,0.0,0.0
ROA=税前纯益占实收资本比率,0.20752104432,0.141887531849,0.234021258851,0.0,0.0
毛利率,0.204696980851,0.203532675568,0.216126555204,0.11543088096,0.100613961572
营业利润率,0.0,0.0281606952375,0.0418190212213,0.0,0.0
净利率,0.2046969808507915,0.17537198033102205,0.17430753398244433,0.11543088096042077,0.10061396157209956
营业费用率,0.2046969808507915,0.17537198033102205,0.17430753398244433,0.11543088096042077,0.10061396157209956
经营安全边际率,0.0,0.13835957867116097,0.19349321133559566,0.0,0.0
EPS=基本每股收益,0.159953739307,0.0964418365959,0.178719433916,0.0,0.0
营收增长率,-0.397653871247,-0.0792472572677,0.925376181297,-0.104582919051,0.404215830169
毛利率,0.204696980851,0.203532675568,0.216126555204,0.11543088096,0.100613961572
营业利润率,0.0,0.0281606952375,0.0418190212213,0.0,0.0
净利增长率,0.658551360625,-0.460372974094,0.0,0.0,0.0
净资本增长率,-0.0945164013777,0.017078704708,0.891047073385,-0.0784981898711,0.0589224106066
现金流量比率,0.0,0.145287664799,0.16284706056,0.0333359225649,0.0
现金再投资比率,0.0,0.229574265813,0.267593630658,-0.184490821503,0.0
