,2017,2016,2015,2014,2013
负债占资产比率(%),0.284061949683,0.291477447689,0.502172851575,0.516836078383,0.471115123174
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.56193067876,2.51138138878,1.06856577229,1.11197575301,1.08656226574
速动比率(%),2.10697409788,2.09299895925,0.781252199309,0.85370484642,0.773253697503
应收款项周转率,1.19486762373,1.70002364994,2.73674884679,2.98374886501,3.02601446967
应收款项周转天数,301.288605407,211.76175991,131.542943892,120.653585904,118.968367008
存货周转率,2.65025530983,2.67850690434,3.71372438358,4.18326867375,3.37169609612
存货周转天数,135.835969714,134.403237646,96.9377268792,86.0571070319,106.771188665
固定资产周转率,2.7603628895,2.34757146168,3.04123139477,3.01003483271,3.42352324682
总资产周转率,0.35720158471,0.405528492497,0.57786501311,0.643704903542,0.603697606978
ROA=资产收益率,0.0208335759338,0.0297678102348,0.0165833251612,0.0394656689853,0.0344474486893
净资产收益率,0.0292511491533,0.0470037019031,0.0338173044352,0.0782730051269,0.0642799530228
ROA=税前纯益占实收资本比率,0.0830936210953,0.134088125223,0.0735229718189,0.14143622683,0.107479345517
毛利率,0.245746931759,0.284195991164,0.215957555521,0.192221287031,0.255997937299
营业利润率,0.0694602099287,0.0480909866654,0.0249367843148,0.0633173112093,0.0589106177404
净利率,0.1762867218303411,0.23610500449894856,0.19102077120611322,0.12890397582126223,0.19708731955840697
营业费用率,0.1762867218303411,0.23610500449894856,0.19102077120611322,0.12890397582126223,0.19708731955840697
经营安全边际率,0.28264934756878424,0.16921768132050483,0.11547076579309186,0.3293980192696206,0.23012145473501272
EPS=基本每股收益,0.0684691018305,0.114085925396,0.0546492309379,0.122371131607,0.0945901795954
营收增长率,0.132997347274,-0.032590316685,-0.0459030346118,0.204031591541,0.0828439160927
毛利率,0.245746931759,0.284195991164,0.215957555521,0.192221287031,0.255997937299
营业利润率,0.0694602099287,0.0480909866654,0.0249367843148,0.0633173112093,0.0589106177404
净利增长率,-0.0997692971091,1.47451864179,-0.553414026493,0.29369805756,0.103950911074
净资本增长率,0.000390253403678,0.801250408721,-0.0310638571261,0.172900314331,0.0819179485383
现金流量比率,0.0,0.0,0.104921763441,0.38229726766,0.0176608273679
现金再投资比率,0.0,0.0,0.0690340167711,0.35975037951,-0.0100736391933
