,2017,2016,2015,2014,2013
负债占资产比率(%),0.509428870831,0.439821687418,0.434741645372,0.380736295096,0.366537314753
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.69029887485,1.87303591891,1.87651415129,2.16850624722,2.20218837782
速动比率(%),1.16121672449,1.25998366012,1.17416761156,1.41766511183,1.40089664211
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,1.43800344007,2.76730515897,2.01155158439,1.58248137092,2.39698136648
存货周转天数,250.347106251,130.090459606,178.966327681,227.490829665,150.188902189
固定资产周转率,4.18837144404,6.8927907859,3.50138636068,2.64602140861,3.57552994221
总资产周转率,0.436107493026,0.802348227075,0.570964471418,0.444996677955,0.589398916491
ROA=资产收益率,0.00633283144168,0.00662162647361,0.0,0.0198858542888,0.0
净资产收益率,0.0121119207087,0.0117683790239,0.0,0.0317581552493,0.0
ROA=税前纯益占实收资本比率,0.0149869813125,0.0212740057739,0.0,0.0474987380021,0.0
毛利率,0.202131430032,0.112094846594,0.0620391935569,0.0532549237637,0.0397594544228
营业利润率,0.0132525977282,0.000270316844959,0.0,0.0167767364667,0.0
净利率,0.18887883230398575,0.11182452974926275,0.06203919355690045,0.036478187297023915,0.039759454422845016
营业费用率,0.18887883230398575,0.11182452974926275,0.06203919355690045,0.036478187297023915,0.039759454422845016
经营安全边际率,0.06556426047202357,0.0024115010919030923,0.0,0.3150269548992159,0.0
EPS=基本每股收益,0.0149869813125,0.0142256252561,0.0,0.0447754434097,0.0
营收增长率,-0.401257339321,0.367419330692,0.258100851593,-0.308898516758,-0.339826134228
毛利率,0.202131430032,0.112094846594,0.0620391935569,0.0532549237637,0.0397594544228
营业利润率,0.0132525977282,0.000270316844959,0.0,0.0167767364667,0.0
净利增长率,0.0535200416619,0.0,0.0,0.0,0.0
净资本增长率,0.155804842997,0.0448874745396,-0.0921156356417,0.0573525181429,-0.198445416816
现金流量比率,0.0,0.0,0.0,0.0,0.0
现金再投资比率,0.0,0.0,0.0,0.0,0.0
