,2017,2016,2015,2014,2013
负债占资产比率(%),0.205930487028,0.156898713709,0.197622528079,0.24505453841,0.21344908986
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),3.09996468916,3.92631645759,3.28444856322,2.74596813212,3.55243959675
速动比率(%),2.22284408613,2.64904823876,2.37016432324,2.06710908103,2.85299340295
应收款项周转率,2.27953965848,2.27079168813,4.02196528114,4.6422278422,5.74479502348
应收款项周转天数,157.926622886,158.535017493,89.5084802667,77.5489726565,62.6654212254
存货周转率,1.37677051377,1.29255873817,2.75088789974,4.14068903824,5.81476772896
存货周转天数,261.481486129,278.517323328,130.866837589,86.9420515946,61.9113293566
固定资产周转率,1.3662361419,1.39030558964,2.69527017976,3.43181490825,3.79372505855
总资产周转率,0.276565906761,0.254482620883,0.493872772156,0.611781218986,0.880939181817
ROA=资产收益率,0.00523113672641,0.00713236950294,0.0247425201656,0.03431519818,0.0393779416388
净资产收益率,0.00639679799213,0.00867448538134,0.0318226615503,0.0445614448641,0.0531167859699
ROA=税前纯益占实收资本比率,0.029817838164,0.0249995890136,0.0961107941928,0.238578683505,0.349519159062
毛利率,0.170316517716,0.146822183826,0.13910625459,0.08615732707,0.109140332949
营业利润率,0.0370598666308,0.0139122803943,0.0527055607931,0.0523814150378,0.0232277857403
净利率,0.13325665108516288,0.13290990343196668,0.0864006937964668,0.033775912032213765,0.08591254720819073
营业费用率,0.13325665108516288,0.13290990343196668,0.0864006937964668,0.033775912032213765,0.08591254720819073
经营安全边际率,0.2175940838141206,0.09475598327004987,0.3788870669303842,0.6079740031308338,0.21282494851178735
EPS=基本每股收益,0.0164873790978,0.0223003865964,0.0833574800116,0.209130343463,0.301546253964
营收增长率,0.0955129308964,-0.521787461601,-0.196729990053,-0.115699624467,0.0346338171116
毛利率,0.170316517716,0.146822183826,0.13910625459,0.08615732707,0.109140332949
营业利润率,0.0370598666308,0.0139122803943,0.0527055607931,0.0523814150378,0.0232277857403
净利增长率,-0.260668463008,-0.732472879539,-0.282536137456,0.109642535569,-0.0390009196888
净资本增长率,0.068437139312,-0.0493783197844,-0.0924091959575,0.0904049520284,0.55847966153
现金流量比率,0.313498324079,0.0,0.0450336124438,0.0971017230005,0.227304297531
现金再投资比率,0.0743028880751,0.0,-0.00518764269586,0.0142323972955,0.0418899971616
