,2017,2016,2015,2014,2013
负债占资产比率(%),0.680963409247,0.67512143228,0.623911379862,0.717381947672,0.623521805419
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.31032892673,1.25486932982,1.26194108037,1.22513388049,1.45086149548
速动比率(%),0.54654241322,0.58806193875,0.570530389519,0.500564938877,0.713419003714
应收款项周转率,1.84127774468,2.56158810595,3.0374035142,3.35657568686,3.47511596391
应收款项周转天数,195.51640215,140.537816819,118.522283364,107.252162199,103.593665287
存货周转率,0.707724035843,1.0869754721,1.15241233051,1.28684648049,1.35795222281
存货周转天数,508.672846714,331.19422585,312.388188211,279.753650073,265.105055945
固定资产周转率,3.59443467712,6.19314857463,5.9386721549,8.56298098002,10.8910975373
总资产周转率,0.333272964706,0.49687117903,0.581492828839,0.677091126025,0.701958958765
ROA=资产收益率,0.00625520146631,0.00663529007824,0.0152716228251,0.013951660381,0.0143677129722
净资产收益率,0.0194377898965,0.0190342513332,0.0452018779029,0.0433117095639,0.0432882987406
ROA=税前纯益占实收资本比率,0.120970941713,0.154261879208,0.204053168549,0.191832567446,0.270953804528
毛利率,0.170040444423,0.171196916144,0.167042952874,0.155062928008,0.160273832444
营业利润率,0.0203027130306,0.0277009083983,0.0297779745643,0.0218664805734,0.0239165713894
净利率,0.1497377313925688,0.14349600774571938,0.1372649783100596,0.13319644743471065,0.13635726105423024
营业费用率,0.1497377313925688,0.14349600774571938,0.1372649783100596,0.13319644743471065,0.13635726105423024
经营安全边际率,0.11939931761227762,0.16180728614858114,0.17826537457526148,0.14101681719971015,0.14922318275382948
EPS=基本每股收益,0.0960783535476,0.0900046557513,0.162361530995,0.140952954764,0.197192068951
营收增长率,-0.240486552641,0.0902009493025,0.215847123275,0.420076971108,0.169318798795
毛利率,0.170040444423,0.171196916144,0.167042952874,0.155062928008,0.160273832444
营业利润率,0.0203027130306,0.0277009083983,0.0297779745643,0.0218664805734,0.0239165713894
净利增长率,0.0674820401854,-0.445652826754,0.549676416436,0.429600647876,1.07258064847
净资本增长率,0.109308109901,0.159048243636,0.444640357885,0.375960520778,0.629066718129
现金流量比率,0.0,0.0150298182851,0.000444305435915,0.0,0.0
现金再投资比率,0.0,-0.0195196315999,-0.0431755000693,0.0,0.0
