,2017,2016,2015,2014,2013
负债占资产比率(%),0.554176788292,0.493217699356,0.485816281376,0.289765140502,0.235246259667
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.38115565506,1.46464691882,1.33041256731,2.21243337247,3.46249051266
速动比率(%),0.76958252783,0.861657635991,0.891895108363,1.71647381768,2.86415614951
应收款项周转率,1.98616866777,2.92641792522,1.54547943535,1.80768357811,2.05474647034
应收款项周转天数,181.25348861,123.017289123,232.937424961,199.149897892,175.204097049
存货周转率,1.98002039246,3.08329903436,1.89776063894,3.72024719544,4.64400749483
存货周转天数,181.816309252,116.758055572,189.697263508,96.7677632931,77.5192547387
固定资产周转率,2.17426838344,2.49275416297,1.07382501603,1.72478544829,2.28256971274
总资产周转率,0.496579103235,0.65579688814,0.321254382811,0.412924480151,0.614744884378
ROA=资产收益率,0.0203546368701,0.0211779375349,0.0348536147744,0.0486683260316,0.0920235292029
净资产收益率,0.0429413440303,0.041494709285,0.0598894273287,0.0661519038613,0.133044259787
ROA=税前纯益占实收资本比率,0.167520333614,0.347344838646,0.395100296204,0.368434611311,0.718297156502
毛利率,0.146396230175,0.159854780478,0.209222648548,0.246483991287,0.249583848236
营业利润率,0.0359167414795,0.0216451661388,0.0698107886401,0.131951669072,0.152106660879
净利率,0.11047948869538857,0.13820961433964923,0.13941185990750932,0.11453232221472576,0.09747718735688848
营业费用率,0.11047948869538857,0.13820961433964923,0.13941185990750932,0.11453232221472576,0.09747718735688848
经营安全边际率,0.24533925113082986,0.13540518509373853,0.3336674548608446,0.5353356556070448,0.6094411235111359
EPS=基本每股收益,0.139832591367,0.26158481293,0.319558431199,0.309335763943,0.614604984772
营收增长率,-0.157702972645,1.75008868792,0.1989541736,-0.0411437615095,0.012057594585
毛利率,0.146396230175,0.159854780478,0.209222648548,0.246483991287,0.249583848236
营业利润率,0.0359167414795,0.0216451661388,0.0698107886401,0.131951669072,0.152106660879
净利增长率,0.0691185761198,-0.181417896098,0.103635269878,-0.245037613733,0.0179365572588
净资本增长率,0.162664480245,0.0590874605173,0.892362557912,0.140451461843,1.00226326177
现金流量比率,0.00435462215852,0.0332084822599,0.0237699072985,0.0371957159618,0.279610949545
现金再投资比率,-0.0257297975331,0.00834498617325,0.00728316682287,-0.00757775807353,0.0480959827283
