,2017,2016,2015,2014,2013
负债占资产比率(%),0.398602163785,0.446516519439,0.357955129948,0.328291769062,0.246074861867
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.17187352125,1.20724823837,1.50676648094,2.02197639047,2.5999306976
速动比率(%),1.1394797169,1.17476200931,1.45246988151,1.95258187592,2.47008770251
应收款项周转率,0.0,0.0,0.0,8.8076008288,9.19142543655
应收款项周转天数,0.0,0.0,0.0,40.8737869708,39.1669390657
存货周转率,1.08409659674,1.8015622377,2.80599194379,1.43581752316,2.8494028005
存货周转天数,332.073729485,199.826568556,128.296875833,250.728239622,126.342263697
固定资产周转率,5.07837660922,6.43152938917,7.05413913824,15.899121535,14.8522337081
总资产周转率,0.347145219974,0.509204082171,0.635315538266,0.52959942693,0.578287052843
ROA=资产收益率,0.0654601359572,0.0,0.128115160798,0.132236367919,0.162459512145
净资产收益率,0.113158891204,0.0,0.195632376914,0.186901747153,0.212615178871
ROA=税前纯益占实收资本比率,0.543225576386,0.0,0.833887985692,0.624992941723,0.596010497986
毛利率,0.968611491837,0.954151524733,0.926860614789,0.936825789647,0.818412085614
营业利润率,0.189935109545,0.0649278483746,0.192460776515,0.205595536457,0.238279887558
净利率,0.7786763822914511,0.8892236763582553,0.7343998382742185,0.7312302531905287,0.5801321980555567
营业费用率,0.7786763822914511,0.8892236763582553,0.7343998382742185,0.7312302531905287,0.5801321980555567
经营安全边际率,0.1960900847718166,0.06804773318655317,0.20764802543521796,0.21945973171175137,0.29114903328859315
EPS=基本每股收益,0.503790780404,0.0,0.726429422654,0.574648561687,0.550467720941
营收增长率,-0.239423233038,-0.0248777421367,0.565249086552,0.174542501848,0.203217739694
毛利率,0.968611491837,0.954151524733,0.926860614789,0.936825789647,0.818412085614
营业利润率,0.189935109545,0.0649278483746,0.192460776515,0.205595536457,0.238279887558
净利增长率,0.0,0.0,0.264128149074,0.0439278087101,0.602272721095
净资本增长率,0.0906858870138,0.144190412042,0.311632102621,0.295929112017,0.265553747559
现金流量比率,0.0,0.224893512218,0.772200353398,0.666594052573,0.724813452553
现金再投资比率,0.0,0.10599492182,0.32701421989,0.237732751753,0.182649589132
