,2017,2016,2015,2014,2013
负债占资产比率(%),0.458503558944,0.409932272336,0.499016688593,0.452525967937,0.410884309099
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.92247273301,2.05412214105,2.07669717892,2.4574250092,3.04738145262
速动比率(%),1.37658101151,1.45766644201,1.63978630471,1.80670523929,2.09971342958
应收款项周转率,1.59556369308,2.64403622982,1.98538806017,2.26920865475,0.0
应收款项周转天数,225.625590229,136.155471676,181.324753192,158.645613856,0.0
存货周转率,1.29620411219,2.02391797613,1.68494637159,2.0735865134,2.06005925343
存货周转天数,277.734036342,177.872821056,213.656651671,173.612240278,174.752255015
固定资产周转率,1.46834347379,2.05869642389,1.38209277817,1.51215890338,1.82863085264
总资产周转率,0.194609668566,0.314384156425,0.254559040708,0.332842430736,0.362646514771
ROA=资产收益率,0.0182949434528,0.0220412216643,0.00530425990018,0.00862513202332,0.0166566959898
净资产收益率,0.0324097390531,0.040057982659,0.0101394043483,0.0151999434392,0.0271158471383
ROA=税前纯益占实收资本比率,0.157996469478,0.166095718185,0.03968645434,0.0511202177222,0.101505219617
毛利率,0.264315150283,0.244475043258,0.189665313115,0.15939268734,0.180338419962
营业利润率,0.105488534099,0.0817008943807,0.0236396255376,0.025704864543,0.0487218001462
净利率,0.15882661618383126,0.16277414887730418,0.16602568757727848,0.1336878227973385,0.1316166198158004
营业费用率,0.15882661618383126,0.16277414887730418,0.16602568757727848,0.1336878227973385,0.1316166198158004
经营安全边际率,0.39910135301034444,0.3341890987804741,0.12463863396708869,0.16126752721161086,0.2701687203229681
EPS=基本每股收益,0.138491770686,0.142868451331,0.0344186941818,0.0512386515048,0.0905423394546
营收增长率,-0.277070439701,0.44603570558,-0.164613419531,0.00305388548658,-0.0140469029562
毛利率,0.264315150283,0.244475043258,0.189665313115,0.15939268734,0.180338419962
营业利润率,0.105488534099,0.0817008943807,0.0236396255376,0.025704864543,0.0487218001462
净利增长率,-0.030634339528,3.86539111334,-0.328266978718,-0.434091809274,-0.482985894661
净资本增长率,0.112472088592,0.236347343745,0.098906411363,0.0851088798899,0.101421347045
现金流量比率,0.0,0.0469214080161,0.321165955814,0.274813848433,0.21287212996
现金再投资比率,0.0,-0.0148244784587,0.107260722438,0.0508276584606,0.0199152864426
