,2017,2016,2015,2014,2013
负债占资产比率(%),0.453551453277,0.445077899538,0.445307559939,0.414313043758,0.341681039346
长期资金占不动产及设备比率(%),1.24881403924,1.36388798187,1.22512989003,1.30229038927,1.44657141466
流动比率(%),0.980795251169,1.03867482999,0.908988368453,1.02335107805,1.15262380998
速动比率(%),0.677670041722,0.749052946332,0.592806823618,0.64168169368,0.722127179463
应收款项周转率,5.49129624383,7.17384705378,8.416586854,10.2674416458,9.90206330895
应收款项周转天数,65.5582915244,50.1822797868,42.7726828279,35.0622883889,36.3560592139
存货周转率,5.27507234972,6.58991081324,6.78046630252,6.82502246815,5.97293914312
存货周转天数,68.2455094704,54.628963912,53.0936935512,52.747079102,60.2718345816
固定资产周转率,1.80549679713,2.20698227649,2.13951439446,2.23340509285,2.16396000802
总资产周转率,0.657294271894,0.859243634437,0.929239708313,1.01440580096,0.934347655829
ROA=资产收益率,0.0282278593595,0.0110200155672,0.0,0.00807379286865,0.0603153307295
净资产收益率,0.0512754498755,0.0198627411497,0.0,0.0130170124871,0.0952401953272
ROA=税前纯益占实收资本比率,0.393298047845,0.217988015109,0.0,0.103460829642,0.794860624784
毛利率,0.164873235076,0.132474660936,0.0954553499964,0.132345302908,0.214060087558
营业利润率,0.0415192713056,0.00921602299948,0.0,0.0149802530362,0.0803499372623
净利率,0.12335396377066035,0.12325863793604389,0.0954553499964389,0.1173650498721461,0.13371015029602693
营业费用率,0.12335396377066035,0.12325863793604389,0.0954553499964389,0.1173650498721461,0.13371015029602693
经营安全边际率,0.25182541779074813,0.06956819465996542,0.0,0.11319066643852863,0.3753616014028167
EPS=基本每股收益,0.333378247258,0.128453522917,0.0,0.0904192240463,0.643013436598
营收增长率,-0.19500044595,-0.0741023955728,-0.0478129334604,0.14049677451,0.107072145241
毛利率,0.164873235076,0.132474660936,0.0954553499964,0.132345302908,0.214060087558
营业利润率,0.0415192713056,0.00921602299948,0.0,0.0149802530362,0.0803499372623
净利增长率,1.69555285875,0.0,0.0,-0.859382061245,2.00831728175
净资本增长率,0.0842191956696,0.0198098862505,-0.0168514187026,0.10147804984,-0.000478880026922
现金流量比率,0.0663183226007,0.192167702975,0.0537564952105,0.131578756093,0.474068534317
现金再投资比率,0.0221263140786,0.108981044541,0.00487544421128,0.0304334917157,0.193288991772
