,2017,2016,2015,2014,2013
负债占资产比率(%),0.546669436981,0.545145796536,0.593123158515,0.593980898318,0.398249753302
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.75645820747,1.95330989599,2.07002336384,1.69442454863,2.05326177483
速动比率(%),0.473794971157,0.792143610439,0.719416038539,0.566593872865,0.0
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.0652171236727,0.159460755118,0.24878181451,0.0524993321947,0.288468789303
存货周转天数,5520.02265244,2257.60877486,1447.05110665,6857.2300818,1247.96863075
固定资产周转率,19.1649755598,34.4498149518,6.56295193718,0.783012104176,8.93337950985
总资产周转率,0.0455177472354,0.109049780443,0.163854944959,0.0451732869414,0.227965779115
ROA=资产收益率,0.00745532974281,0.0143066967409,0.0194603419348,0.00460681238892,0.0916391225041
净资产收益率,0.0164183209741,0.0328636259377,0.0478560394418,0.00952552203561,0.140103210024
ROA=税前纯益占实收资本比率,0.0705476847322,0.238523263511,0.225018157659,0.0253294897641,0.40035085311
毛利率,0.34835114758,0.406839707759,0.395566847086,0.535496359999,0.576495703413
营业利润率,0.201489549477,0.185452106905,0.170153294274,0.101712558655,0.528982950578
净利率,0.14686159810309077,0.22138760085349313,0.22541355281119646,0.43378380134359673,0.047512752834396044
营业费用率,0.14686159810309077,0.22138760085349313,0.22541355281119646,0.43378380134359673,0.047512752834396044
经营安全边际率,0.5784093173709033,0.4558358079813883,0.43015054352512383,0.18994070969101506,0.9175835092037417
EPS=基本每股收益,0.0515257640956,0.165298584576,0.154834283705,0.0221879378625,0.302469976539
营收增长率,-0.500639966098,0.19062082151,7.04267407594,-0.710847402323,0.391983494063
毛利率,0.34835114758,0.406839707759,0.395566847086,0.535496359999,0.576495703413
营业利润率,0.201489549477,0.185452106905,0.170153294274,0.101712558655,0.528982950578
净利增长率,-0.376573438571,0.315216154901,8.36639675318,-0.926644164434,0.15237847722
净资本增长率,0.0168921559825,0.457995825745,1.6741094486,0.522008394411,0.372968021746
现金流量比率,0.0,0.00508213615727,0.0,0.0,0.0
现金再投资比率,0.0,-0.0251655010487,0.0,0.0,0.0
