,2017,2016,2015,2014,2013
负债占资产比率(%),0.985395930142,0.941316739866,0.929876915931,0.92886541237,0.901644822838
长期资金占不动产及设备比率(%),2.01982579556,1.49777194975,1.60129577002,1.07031456825,1.04727810375
流动比率(%),1.13187444231,0.99294451039,0.985710794015,0.918015375932,0.89727834106
速动比率(%),0.986739286874,0.865944536161,0.850784127644,0.776472280149,0.766298922962
应收款项周转率,1.68495652279,2.40057227411,3.29997886937,4.57407553096,4.71814473589
应收款项周转天数,213.655364474,149.964241395,109.091607629,78.7044283732,76.3011777196
存货周转率,5.7812147643,5.22961680392,4.24194567216,5.13770797367,6.36406942092
存货周转天数,62.270649799,68.8386957396,84.866716319,70.0701561562,56.5675790426
固定资产周转率,4.21283320152,5.00269830625,5.16903380465,6.68849735706,6.87933025536
总资产周转率,0.356287368072,0.448479237407,0.479832443676,0.61084851347,0.767822944665
ROA=资产收益率,0.0,6.62110136627e-05,0.0204068554636,0.0,0.0121757656153
净资产收益率,0.0,0.00103376484153,0.289011449188,0.0,0.131574427108
ROA=税前纯益占实收资本比率,0.0,0.0686276734368,0.235748104556,0.0361737200035,0.114163849087
毛利率,0.147258908842,0.146069774283,0.167646628828,0.163331061184,0.130681628812
营业利润率,0.0,0.0,0.0250447010672,0.00275872232239,0.0109398159478
净利率,0.14725890884160542,0.14606977428310747,0.142601927760999,0.160572338861608,0.1197418128638974
营业费用率,0.14725890884160542,0.14606977428310747,0.142601927760999,0.160572338861608,0.1197418128638974
经营安全边际率,0.0,0.0,0.1493898281297079,0.016890371631667577,0.08371349551783613
EPS=基本每股收益,0.0,0.000648749677958,0.180526509907,0.0,0.0825788402959
营收增长率,-0.127410746874,0.0352250052154,-0.0987891260549,-0.0955293106841,0.127027315872
毛利率,0.147258908842,0.146069774283,0.167646628828,0.163331061184,0.130681628812
营业利润率,0.0,0.0,0.0250447010672,0.00275872232239,0.0109398159478
净利增长率,0.0,-0.996406346756,0.0,0.0,0.00867925873457
净资本增长率,0.0684711468709,0.132239456054,0.0809607985113,0.228776873804,0.0412336178129
现金流量比率,0.0,0.0562534143557,0.0,0.0597240002817,0.0534532730412
现金再投资比率,0.0,0.0428257110253,0.0,0.183673841139,0.136756434876
