,2017,2016,2015,2014,2013
负债占资产比率(%),0.0935491345591,0.248555657333,0.241343053153,0.234348717203,0.235785906602
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),13.3655554489,4.04290798495,4.21397017155,4.32906904443,4.30102064426
速动比率(%),13.0423531389,2.76999469758,2.88360774224,3.14594159795,3.18544588801
应收款项周转率,1.84528764008,3.33412444989,3.11722649143,3.24487269931,0.0
应收款项周转天数,195.091535964,107.974373905,115.487277228,110.944259871,0.0
存货周转率,0.582885693603,0.442088823094,0.380429985603,0.387439960671,0.461506685826
存货周转天数,617.616805406,814.315995325,946.297646411,929.176224818,780.053704651
固定资产周转率,1.90304398404,2.66028721255,2.07318223351,1.23740106096,1.28629801096
总资产周转率,0.107053606057,0.165077541859,0.128839902594,0.111618502179,0.132570824943
ROA=资产收益率,0.162110327567,0.0154499892224,0.0120271048021,0.0242360810307,0.0323283492935
净资产收益率,0.195491273139,0.0204635565848,0.0157797021404,0.0316834959633,0.0384633601531
ROA=税前纯益占实收资本比率,0.670632259913,0.0679764242526,0.0447920001897,0.0872293970719,0.0993484091108
毛利率,0.193226318742,0.248663756175,0.22596051961,0.175969707999,0.162536298653
营业利润率,1.81276389626,0.146568355329,0.112311294224,0.223671605405,0.210472391669
净利率,-1.619537577513836,0.10209540084644228,0.11364922538539171,-0.047701897405793614,-0.047936093016509335
营业费用率,-1.619537577513836,0.10209540084644228,0.11364922538539171,-0.047701897405793614,-0.047936093016509335
经营安全边际率,9.381557895740706,0.5894238773803957,0.4970394581244653,1.2710801645820486,1.2949254622746489
EPS=基本每股收益,0.559856650425,0.0524187345563,0.040632251084,0.0814659322695,0.0993361429488
营收增长率,-0.339882700715,0.286726273561,0.160139863046,-0.0789608214555,2.27538595853
毛利率,0.193226318742,0.248663756175,0.22596051961,0.175969707999,0.162536298653
营业利润率,1.81276389626,0.146568355329,0.112311294224,0.223671605405,0.210472391669
净利增长率,9.68046863708,0.290077048598,-0.501236284271,-0.179896361474,3.55107526656
净资本增长率,0.00772615745142,0.028375327545,-0.019377058376,0.0302559865344,0.168323717566
现金流量比率,1.07431313499,0.0105417776003,0.0,0.0,0.00536797033182
现金再投资比率,0.0,0.0,0.0,0.0,-0.00161043118648
