,2017,2016,2015,2014,2013
负债占资产比率(%),0.355407650909,0.330613345567,0.608198727853,0.6347983067,0.643932332496
长期资金占不动产及设备比率(%),0.0,0.0,0.0,2.04837331567,1.3169782889
流动比率(%),2.29367179162,2.14531960041,0.865073108038,0.802424036553,0.750785645338
速动比率(%),2.28355455855,2.11750725194,0.748747684936,0.675464334372,0.5792807304
应收款项周转率,0.0,5.68110610245,2.37523342902,3.1763628336,0.0
应收款项周转天数,0.0,63.3679416487,151.564050759,113.337178043,0.0
存货周转率,61.6145123072,31.2600371314,9.08513353406,10.3125521327,0.0
存货周转天数,5.84277934726,11.5163010999,39.6251743191,34.9089144345,0.0
固定资产周转率,22.6238371808,85.2393501337,2.19482659328,3.11042481676,2.49594873047
总资产周转率,0.0995148282248,0.371593138681,0.274442632,0.424139136536,1.04926665956
ROA=资产收益率,0.0340243914632,0.0294037914185,0.0197952365672,0.021833116372,0.0372187696036
净资产收益率,0.0518337869313,0.0562145722853,0.0523168613465,0.0605273163863,0.100533131882
ROA=税前纯益占实收资本比率,0.371087643716,0.376636727961,0.311859628246,0.344466985174,0.420620748161
毛利率,0.81690818967,0.160726319438,0.285785690724,0.211271946129,0.176555322404
营业利润率,0.343759204063,0.0810032431524,0.0837466280007,0.0590906125469,0.0377216152451
净利率,0.47314898560739543,0.07972307628581492,0.2020390627233697,0.15218133358184088,0.13883370715927573
营业费用率,0.47314898560739543,0.07972307628581492,0.2020390627233697,0.15218133358184088,0.13883370715927573
经营安全边际率,0.42080518766943703,0.50398244317131,0.2930399621776969,0.27968981982550184,0.21365323192412158
EPS=基本每股收益,0.369344577309,0.321814068322,0.23065188087,0.252428944654,0.328305994658
营收增长率,-0.734380607111,0.271807842601,-0.347897132431,-0.205268631603,104.538770826
毛利率,0.81690818967,0.160726319438,0.285785690724,0.211271946129,0.176555322404
营业利润率,0.343759204063,0.0810032431524,0.0837466280007,0.0590906125469,0.0377216152451
净利增长率,0.147695559845,0.395237130118,-0.0862700741911,0.153324713744,4.25520393666
净资本增长率,0.097473395411,-0.102929096698,-0.0192805372213,0.035844265869,27.1755063414
现金流量比率,0.223664885195,0.0,0.0656378651442,0.0934284623666,0.109566541302
现金再投资比率,0.0506623465106,0.0,0.0200715085576,0.0694623222698,0.0819584706017
