,2017,2016,2015,2014,2013
负债占资产比率(%),0.464517585726,0.448731502096,0.456414247856,0.460073248112,0.466851627963
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.56527519756,1.65733469121,1.49134768552,1.56216738166,1.59405165039
速动比率(%),1.28774389218,1.34806345621,1.06067331831,1.02172259078,1.06216898887
应收款项周转率,2.65934294836,3.92474915979,3.97283275098,3.49654827767,3.7025739764
应收款项周转天数,135.371784305,91.7256072536,90.6154430769,102.958681366,97.2296576097
存货周转率,4.40778796192,5.22815992369,4.27456859318,3.59067232769,3.89068741363
存货周转天数,81.6736202172,68.8578783462,84.219025184,100.259775091,92.5286361322
固定资产周转率,2.42661837894,3.44447383967,3.55411515409,3.6983869219,4.64043411437
总资产周转率,0.643595037895,0.980395345419,1.05676045351,1.00976803077,1.12643281552
ROA=资产收益率,0.0219087015208,0.0585587858165,0.0409528764881,0.0120913210212,0.00850050130057
净资产收益率,0.0402893831899,0.106937420205,0.0756138855896,0.0225367574033,0.0156702585056
ROA=税前纯益占实收资本比率,0.17676886347,0.414455734072,0.410020039971,0.191128827329,0.156093214849
毛利率,0.250285011555,0.264396923172,0.249283673714,0.275226678409,0.295496334349
营业利润率,0.0431150642948,0.0684043433259,0.0467517589738,0.0206010515786,0.0131538520633
净利率,0.20716994726012594,0.19599257984561802,0.2025319147404103,0.25462562682995565,0.2823424822856915
营业费用率,0.20716994726012594,0.19599257984561802,0.2025319147404103,0.25462562682995565,0.2823424822856915
经营安全边际率,0.17226386840735017,0.2587183788124481,0.18754440785155801,0.07485121608757393,0.044514433968401226
EPS=基本每股收益,0.122949677924,0.332040469454,0.320461306836,0.103095334851,0.071202077141
营收增长率,-0.347933600195,-0.10906276255,-0.0395365076889,-0.0874987678195,0.0242874329958
毛利率,0.250285011555,0.264396923172,0.249283673714,0.275226678409,0.295496334349
营业利润率,0.0431150642948,0.0684043433259,0.0467517589738,0.0206010515786,0.0131538520633
净利增长率,-0.628374975231,0.373188237283,2.10839774953,0.447925945285,-0.768607835548
净资本增长率,-0.0983093645719,0.0934719882016,-0.152499967892,-0.012899806506,0.0503070275003
现金流量比率,0.0188510290917,0.457689549029,0.296746225762,0.16829497171,0.0202537688528
现金再投资比率,-0.158915690008,0.299950530571,-0.032374329047,0.104474823759,0.0140976328242
