,2017,2016,2015,2014,2013
负债占资产比率(%),0.676502407514,0.68623433673,0.581709234143,0.740334908351,0.708561350777
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.21977530957,1.15799026252,1.07441939199,1.02875300772,1.17358351333
速动比率(%),0.59144210747,0.524147653655,0.667338538412,0.613908596287,0.688174215246
应收款项周转率,2.83201283824,5.81025096743,4.50052451366,4.99129773544,6.30242569251
应收款项周转天数,127.118067806,61.9594578647,79.9906763994,72.1255310906,57.1208638648
存货周转率,2.5825493796,4.68704661718,3.82824472716,4.39727567229,5.80735415382
存货周转天数,139.397140997,76.8074289427,94.0378752294,81.8688721903,61.9903643664
固定资产周转率,6.04570554114,7.92805838059,6.38179156665,6.82467325812,8.01342652591
总资产周转率,0.660963139063,1.07444238804,0.738447255525,0.888760893737,1.15255019717
ROA=资产收益率,0.00281318177705,0.0152710491526,0.0101370960507,0.0,0.00747771643103
净资产收益率,0.00883057626155,0.0431405895283,0.0296426637251,0.0,0.0286285409538
ROA=税前纯益占实收资本比率,0.13596151585,0.413193731292,0.211936769711,0.0,0.344784808367
毛利率,0.114801280665,0.129648794589,0.130639791197,0.118682997295,0.0931879744022
营业利润率,0.00464481457076,0.00960708883939,0.00591039701818,0.0,0.0
净利率,0.11015646609407892,0.12004170574971866,0.12472939417832879,0.11868299729495335,0.09318797440216037
营业费用率,0.11015646609407892,0.12004170574971866,0.12472939417832879,0.11868299729495335,0.09318797440216037
经营安全边际率,0.040459605884744836,0.07410087282212353,0.045241935585242525,0.0,0.0
EPS=基本每股收益,0.0721293987428,0.322053498609,0.1585192587,0.0,0.134855966055
营收增长率,-0.252089764459,0.962249955554,-0.145164853286,-0.185667601285,-0.0561355389339
毛利率,0.114801280665,0.129648794589,0.130639791197,0.118682997295,0.0931879744022
营业利润率,0.00464481457076,0.00960708883939,0.00591039701818,0.0,0.0
净利增长率,-0.776032867041,1.03163641597,0.0,0.0,-0.600713857091
净资本增长率,-0.0238736063481,0.598985331218,0.0785863400623,-0.0199156761289,0.142824509079
现金流量比率,0.0,0.0,0.0288127868046,0.0,0.0797839064695
现金再投资比率,0.0,0.0,-0.00810019217377,0.0,0.0738838986967
