,2017,2016,2015,2014,2013
负债占资产比率(%),0.995524931341,0.988958884673,0.920261846385,0.923297101935,0.813871448723
长期资金占不动产及设备比率(%),0.0130542299606,1.40347270934,0.32761088552,0.192054568015,0.0
流动比率(%),0.136629107188,0.65526056702,0.177156885041,0.133779110447,0.340629948069
速动比率(%),0.118472743508,0.520760125182,0.160743591831,0.118079145474,0.262388341432
应收款项周转率,5.42251746762,5.49840357018,3.26971420207,2.76463335202,0.0
应收款项周转天数,66.3898276307,65.473549805,110.101365976,130.216182098,0.0
存货周转率,18.0021815166,14.8340017658,13.5185668881,10.0164128757,7.26491340982
存货周转天数,19.9975763864,24.2685693101,26.6300417033,35.9410104663,49.5532403061
固定资产周转率,0.639022907771,0.486455648867,0.281529687518,0.306128277799,1.2337329658
总资产周转率,0.317896743081,0.24670917026,0.143185754011,0.15891109831,0.126326766207
ROA=资产收益率,0.0,0.0,0.00514054754221,0.0,0.0186638314953
净资产收益率,0.0,0.0,0.0656924071165,0.0,0.0847727661829
ROA=税前纯益占实收资本比率,0.0,0.0,0.00542383380613,0.0,0.0137523025015
毛利率,0.226156881615,0.159133256763,-0.0552654355916,0.160451772388,0.135431582307
营业利润率,0.0,0.0,0.0,0.0,0.0
净利率,0.22615688161531816,0.1591332567632444,-0.055265435591557326,0.16045177238753788,0.13543158230690364
营业费用率,0.22615688161531816,0.1591332567632444,-0.055265435591557326,0.16045177238753788,0.13543158230690364
经营安全边际率,0.0,0.0,-0.0,0.0,0.0
EPS=基本每股收益,0.0,0.0,0.00542383380613,0.0,0.0137523025015
营收增长率,0.244705552326,0.685691435974,-0.0280331132324,0.66984186093,1.67678280233
毛利率,0.226156881615,0.159133256763,-0.0552654355916,0.160451772388,0.135431582307
营业利润率,0.0,0.0,0.0,0.0,0.0
净利增长率,0.0,0.0,0.0,0.0,-0.988459999087
净资本增长率,0.0191368160339,-0.0827859592873,0.042049076152,0.119767957292,0.675383304453
现金流量比率,0.0188240183121,0.119488689812,0.0,0.000203014939043,0.0
现金再投资比率,-1.34800596495,-0.0369570234244,0.0,-0.489452497796,0.0
