,2017,2016,2015,2014,2013
负债占资产比率(%),0.88200145414,0.879375839755,0.898217105331,0.926788334806,0.905800717391
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.19481545781,1.62854043449,1.68441930246,1.40676262715,2.44544325334
速动比率(%),0.424250816759,0.30765585518,0.270494111246,0.233965782198,0.421684681017
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.0754212674581,0.184166602233,0.277655222382,0.123800588763,0.0644532789201
存货周转天数,4773.18947471,1954.75181512,1296.57204684,2907.90216426,5585.4412069
固定资产周转率,44.9813147058,110.794630148,145.088822901,62.8807062793,17.9710870857
总资产周转率,0.0770606092685,0.210170899207,0.294777593511,0.129910579362,0.0510884484684
ROA=资产收益率,0.00565333124006,0.0264730901895,0.0215148160927,0.00719131163955,0.00168766884986
净资产收益率,0.0473900032397,0.237631154202,0.247361728458,0.0870611846134,0.0142433539014
ROA=税前纯益占实收资本比率,0.36857418535,1.43378244886,1.31927267175,0.435995275975,0.145954466938
毛利率,0.269159046611,0.322674616399,0.258302898789,0.256241419717,0.0678795202668
营业利润率,0.118392635328,0.176528512425,0.115825481177,0.0905022062496,0.0770682372167
净利率,0.15076641128309964,0.14614610397425346,0.14247741761158106,0.16573921346718967,-0.009188716949945691
营业费用率,0.15076641128309964,0.14614610397425346,0.14247741761158106,0.16573921346718967,-0.009188716949945691
经营安全边际率,0.4398612523668097,0.5470790184697378,0.4484095289685433,0.35319116772622816,1.1353680302075038
EPS=基本每股收益,0.2225948736,1.00693749571,0.831181419003,0.260510199757,0.0444278982022
营收增长率,-0.620446755734,-0.298031216883,1.41986710014,2.49920909711,-0.112236558019
毛利率,0.269159046611,0.322674616399,0.258302898789,0.256241419717,0.0678795202668
营业利润率,0.118392635328,0.176528512425,0.115825481177,0.0905022062496,0.0770682372167
净利增长率,-0.778938737957,0.211453327381,2.19059069387,4.86366248008,-0.394896842424
净资本增长率,0.027180540364,0.0435128248481,-0.0702616462084,0.235341415437,0.601510661506
现金流量比率,0.0,0.307247585585,0.224011042939,0.00921552453932,0.0
现金再投资比率,0.0,0.290297315815,0.145786253435,-0.169390111872,0.0
