,2017,2016,2015,2014,2013
负债占资产比率(%),0.524335365391,0.643564206724,0.296493689808,0.929406886968,0.848085382359
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.2617363021,1.12119434534,2.48674420844,1.34970734852,1.35180562888
速动比率(%),0.994290651745,0.966271978974,2.48220405772,0.137738682837,0.158277495516
应收款项周转率,1.38624197889,0.0,0.0,0.0,0.0
应收款项周转天数,259.694920138,0.0,0.0,0.0,0.0
存货周转率,6.06939960737,14.3448208316,0.385752850636,0.116955840041,0.118183194393
存货周转天数,59.3139393166,25.0961656632,933.240025075,3078.08485556,3046.11837452
固定资产周转率,17.6655557046,19.176052126,5.70610826083,18.9645154845,9.31856617305
总资产周转率,0.581897194508,1.13018102886,0.319433649739,0.140455117157,0.0978664551633
ROA=资产收益率,0.0129714912886,0.0488363931317,0.144001826898,0.0,0.0
净资产收益率,0.0316311495685,0.130768588952,0.756893309515,0.0,0.0
ROA=税前纯益占实收资本比率,0.154217281343,0.339154246724,0.410436221017,0.0,0.0
毛利率,0.0963750186152,0.0776515526516,0.243921015733,0.376500421028,0.153998106442
营业利润率,0.0222892120506,0.0444592640197,0.478817599832,0.0,0.0
净利率,0.07408580656463121,0.03319228863181976,-0.2348965840985766,0.3765004210276995,0.1539981064418192
营业费用率,0.07408580656463121,0.03319228863181976,-0.2348965840985766,0.3765004210276995,0.1539981064418192
经营安全边际率,0.2312758261514189,0.57254829429153,1.9630026481828926,0.0,0.0
EPS=基本每股收益,0.134716886223,0.300958949439,0.397946596547,0.0,0.0
营收增长率,-0.109818086672,12.6399307299,0.591193300311,0.759832273208,-0.181775891813
毛利率,0.0963750186152,0.0776515526516,0.243921015733,0.376500421028,0.153998106442
营业利润率,0.0222892120506,0.0444592640197,0.478817599832,0.0,0.0
净利增长率,-0.540773604151,0.307435866492,0.0,0.0,0.0
净资本增长率,-0.181895307331,18.3909510418,-0.766858062534,0.311446806798,0.129915908813
现金流量比率,0.0,0.0275294108687,0.95934344392,0.0,0.0
现金再投资比率,0.0,0.032935924561,0.134493793069,0.0,0.0
