,2017,2016,2015,2014,2013
负债占资产比率(%),0.382941939379,0.631875739655,0.375532702053,0.355010122609,0.407205224267
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.38967756717,1.04632463359,1.80868679056,2.36389096639,2.78924241599
速动比率(%),1.07361690005,0.398430655674,0.466326565015,0.71503012504,0.707644125414
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.147438913774,0.110019044387,0.0668678527072,0.242712653328,0.790168574807
存货周转天数,2441.68917678,3272.16076094,5383.75296088,1483.23540229,455.598984164
固定资产周转率,26.7231132084,5.13100376521,2.47792460753,8.10032006034,9.97005474126
总资产周转率,0.0937649853236,0.142346834071,0.0840063969342,0.306533010144,0.437992752992
ROA=资产收益率,0.000872260718599,0.0,0.0,0.0483696839734,0.0
净资产收益率,0.00188577431541,0.0,0.0,0.0780620621406,0.0
ROA=税前纯益占实收资本比率,0.000255764210583,0.0,0.0,0.0905197574423,0.0
毛利率,0.545789832108,0.669248128944,0.621171557276,0.602233082361,0.0550550858156
营业利润率,0.0,0.0,0.0,0.16726081285,0.0
净利率,0.5457898321084775,0.6692481289438605,0.6211715572761543,0.43497226951066753,0.05505508581562425
营业费用率,0.5457898321084775,0.6692481289438605,0.6211715572761543,0.43497226951066753,0.05505508581562425
经营安全边际率,0.0,0.0,0.0,0.2777343486255374,0.0
EPS=基本每股收益,0.00152742456822,0.0,0.0,0.0848485864273,0.0
营收增长率,-0.406089225705,0.872854503615,-0.725476016715,-0.306148864843,-0.495748893922
毛利率,0.545789832108,0.669248128944,0.621171557276,0.602233082361,0.0550550858156
营业利润率,0.0,0.0,0.0,0.16726081285,0.0
净利增长率,0.0,0.0,0.0,0.0,0.0
净资本增长率,-0.388885222615,0.270823421398,-0.0517199930927,0.0582683403974,-0.070709036235
现金流量比率,0.760194692249,0.023501360454,0.0,0.5085379548,0.0
现金再投资比率,0.446265692997,-0.00981938271526,0.0,0.215022327685,0.0
