,2017,2016,2015,2014,2013
负债占资产比率(%),0.255127526604,0.251648648987,0.3080690358,0.311637984296,0.353649940731
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,2.50110102029
流动比率(%),1.8468742918,1.53552210002,1.2270777462,2.17106592454,1.87084826188
速动比率(%),1.7049926666,1.40738381034,1.05250842256,1.88985528605,1.23784376367
应收款项周转率,0.0,3.19468723395,2.08361309389,3.34220106248,1.28882192453
应收款项周转天数,0.0,112.687087542,172.776798656,107.713447896,279.324857181
存货周转率,2.83212751031,3.05386856291,1.22622067169,1.05408567941,0.355958605046
存货周转天数,127.112920831,117.883265957,293.585003344,341.528214481,1011.35355318
固定资产周转率,0.396221225513,0.595236160918,0.340423693982,0.44817363357,0.274877159691
总资产周转率,0.0855153173808,0.141446476829,0.0851260297456,0.122701137762,0.0648474918019
ROA=资产收益率,0.0167778410918,0.0153061426222,0.0,0.0242245860805,0.0
净资产收益率,0.0224735451199,0.021277283965,0.0,0.0361537587675,0.0
ROA=税前纯益占实收资本比率,0.163083530962,0.124499729823,0.0,0.157691017292,0.0
毛利率,0.216870428809,0.255376064985,0.37155214927,0.401416311625,0.145764889423
营业利润率,0.370633208276,0.0942920418535,0.0,0.257821483427,0.0
净利率,-0.15376277946698863,0.16108402313176468,0.3715521492699088,0.14359482819798192,0.14576488942349472
营业费用率,-0.15376277946698863,0.16108402313176468,0.3715521492699088,0.14359482819798192,0.14576488942349472
经营安全边际率,1.7090075872109298,0.36922818847159067,0.0,0.6422795386248323,0.0
EPS=基本每股收益,0.0842243380462,0.0766333831077,0.0,0.108521862508,0.0
营收增长率,-0.393820752567,0.631646751061,-0.210397029718,0.923477571357,-0.261110590487
毛利率,0.216870428809,0.255376064985,0.37155214927,0.401416311625,0.145764889423
营业利润率,0.370633208276,0.0942920418535,0.0,0.257821483427,0.0
净利增长率,0.0990554590001,0.0,0.0,0.0,0.0
净资本增长率,0.0620005102985,-0.0535241457786,0.0180981492554,0.293397623898,-0.203849786985
现金流量比率,0.0,0.0425481205899,0.0903947263375,0.389617023,0.646571563111
现金再投资比率,0.0,-0.00577663873138,0.0120306058335,0.0568464301824,0.100036674542
