,2017,2016,2015,2014,2013
负债占资产比率(%),0.162646247044,0.193012816636,0.308790931305,0.814696891289,0.860006120865
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),4.84971132252,4.45722533893,2.73106111643,1.02828297732,0.862402568431
速动比率(%),4.19070244992,4.02593123272,2.33442451312,0.728178534951,0.628752835997
应收款项周转率,1.04740547962,2.32723759194,2.78714234059,3.16942571206,2.87169944141
应收款项周转天数,343.706431755,154.689835386,129.164554949,113.585246258,125.361308642
存货周转率,1.16231099577,2.12121335254,1.43048336079,1.44803754177,1.75589467334
存货周转天数,309.727776223,169.714187198,251.663185933,248.612338848,205.023687051
固定资产周转率,13.6308737711,17.1096985516,8.38701822563,7.70006154804,2.07803592085
总资产周转率,0.34004654806,0.583922835608,0.560542748269,0.716665377732,0.429893080537
ROA=资产收益率,0.0506139792267,0.0959127663958,0.0122029724185,0.0512178493561,0.0
净资产收益率,0.0615474216388,0.124802777278,0.0226719763337,0.317761386167,0.0
ROA=税前纯益占实收资本比率,0.406730137504,0.530714690034,0.0773823046368,0.145553522393,0.0
毛利率,0.798824134044,0.779422532398,0.7277273914,0.75344767928,0.592570097215
营业利润率,0.185540883091,0.191123897053,0.0364388528923,0.0,0.0
净利率,0.6132832509532199,0.5882986353450885,0.6912885385079252,0.7534476792803116,0.5925700972149917
营业费用率,0.6132832509532199,0.5882986353450885,0.6912885385079252,0.7534476792803116,0.5925700972149917
经营安全边际率,0.23226749816822662,0.24521217838655737,0.050072119481661584,0.0,0.0
EPS=基本每股收益,0.310981981817,0.435858770384,0.0335735665452,0.103812343689,0.0
营收增长率,-0.212631051677,1.1870083018,0.209743248201,0.320923531705,0.0286107644394
毛利率,0.798824134044,0.779422532398,0.7277273914,0.75344767928,0.592570097215
营业利润率,0.185540883091,0.191123897053,0.0364388528923,0.0,0.0
净利增长率,-0.286507458497,15.5011608692,-0.631493473618,0.0,0.0
净资本增长率,0.0249337975949,1.00937301729,1.30725102339,-0.121487967243,-0.270491294406
现金流量比率,0.0,0.0,0.0,0.0,0.0
现金再投资比率,0.0,0.0,0.0,0.0,0.0
