,2017,2016,2015,2014,2013
负债占资产比率(%),0.367505461657,0.418728644807,0.471988446921,0.526256888575,0.584016644231
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.348760711767,0.352151386071,0.271511070434,0.38773028882,0.431748930916
速动比率(%),0.348657210409,0.0,0.0,0.0,0.0
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.0,0.0,0.0,0.0,0.0
存货周转天数,0.0,0.0,0.0,0.0,0.0
固定资产周转率,3.1379278325,3.79621976739,3.69515023361,3.67896869523,2.92738264703
总资产周转率,0.0799882493977,0.106897264668,0.111194635169,0.108507541541,0.0940810956018
ROA=资产收益率,0.0386898848055,0.0470567795895,0.0417737519802,0.0443117417239,0.0512115454412
净资产收益率,0.0638011957939,0.0845407612989,0.0834506121392,0.0998454133863,0.118324266103
ROA=税前纯益占实收资本比率,0.369766739779,0.430272337693,0.374127307818,0.544062043171,0.561305139626
毛利率,0.640410223767,0.630036665197,0.617380817375,0.618338072732,0.566750473704
营业利润率,0.58670065786,0.531986568323,0.47230874049,0.5243797415,0.597058499028
净利率,0.05370956590713871,0.09805009687455823,0.1450720768846649,0.09395833123233088,-0.03030802532376764
营业费用率,0.05370956590713871,0.09805009687455823,0.1450720768846649,0.09395833123233088,-0.03030802532376764
经营安全边际率,0.9161325601717705,0.8443739828318577,0.765020109465731,0.8480469901891623,1.0534768416260474
EPS=基本每股收益,0.296112020254,0.341431604591,0.283723361153,0.41059597847,0.459301072738
营收增长率,-0.210709849411,0.0270052480822,-0.0235207832233,0.191581770106,0.528108109584
毛利率,0.640410223767,0.630036665197,0.617380817375,0.618338072732,0.566750473704
营业利润率,0.58670065786,0.531986568323,0.47230874049,0.5243797415,0.597058499028
净利增长率,-0.132734005077,0.203396164501,-0.101695124321,-0.106041760317,0.74882218936
净资本增长率,-0.0360246269755,0.160212388232,-0.0216396142381,-0.0707928233142,0.153012269615
现金流量比率,0.0,0.124254526485,0.0,0.0,0.184541468466
现金再投资比率,0.0,0.0556924661883,0.0,0.0,0.177109129855
