,2017,2016,2015,2014,2013
负债占资产比率(%),0.383787993743,0.414544925182,0.496750700921,0.63596051103,0.604957728579
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.38168570424,1.45291782092,1.33490947564,1.0976377469,1.15520848086
速动比率(%),1.18575476619,1.25064357717,0.922242676726,0.740166934014,0.827481897566
应收款项周转率,2.27215687369,6.25469086131,6.88106546598,4.27997283314,4.43451492143
应收款项周转天数,158.439764511,57.5568014443,52.3174792886,84.1126834293,81.181370765
存货周转率,4.60264889965,7.18796184586,6.89063041838,5.58671563335,5.95223165947
存货周转天数,78.2158291559,50.0837383002,52.2448568769,64.4385760125,60.4815169495
固定资产周转率,2.18491510649,26.7460473444,52.3613321491,22.265289168,18.4897441411
总资产周转率,0.365313528065,0.978426968383,1.18322872731,0.979378292522,1.05679668839
ROA=资产收益率,0.0378316686762,0.064751205252,0.0520721516994,0.0,0.0106962961616
净资产收益率,0.0625145082073,0.119185944095,0.120841919024,0.0,0.026824815293
ROA=税前纯益占实收资本比率,0.2326975553,0.346130900089,0.29544251362,0.0,0.0842683468403
毛利率,0.246909063636,0.204084938166,0.14506833616,0.148225231975,0.165750856327
营业利润率,0.115379382053,0.0732019329133,0.0473893564777,0.0,0.00751576993266
净利率,0.13152968158367045,0.13088300525304636,0.09767897968188305,0.14822523197468304,0.15823508639475445
营业费用率,0.13152968158367045,0.13088300525304636,0.09767897968188305,0.14822523197468304,0.15823508639475445
经营安全边际率,0.46729504520197496,0.3586836616705503,0.32666919420368107,0.0,0.04534377739692247
EPS=基本每股收益,0.202538065502,0.295369906914,0.253697179819,0.0,0.0633401670374
营收增长率,-0.493753114785,-0.225773587264,0.120043121158,-0.0962041391057,0.0441973928417
毛利率,0.246909063636,0.204084938166,0.14506833616,0.148225231975,0.165750856327
营业利润率,0.115379382053,0.0732019329133,0.0473893564777,0.0,0.00751576993266
净利增长率,-0.207803964447,0.164261688381,0.0,0.0,0.0
净资本增长率,0.784494730679,-0.0508967138628,-0.0755638241627,-0.070465358567,0.0219476297391
现金流量比率,0.0,0.0486915688999,0.0160539584638,0.0287632500532,0.0744471069622
现金再投资比率,0.0,-0.00405359531566,-0.0368806366749,-0.0299996169603,0.0364754282806
