,2017,2016,2015,2014,2013
负债占资产比率(%),0.284577637987,0.257610768011,0.272995322533,0.303714802463,0.299292770341
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.67241535916,1.52349107238,1.47907869231,1.32169255754,1.39136374743
速动比率(%),0.974492352745,0.664249092895,0.557786762067,0.430485257043,0.31117102766
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,1.64584175359,3.4534942584,3.69038784013,3.45278205355,3.27094954797
存货周转天数,218.733058153,104.242246566,97.5507224701,104.263748599,110.059783778
固定资产周转率,7.77084148249,13.9771967604,14.5464527265,18.6961167555,17.0807652882
总资产周转率,0.508419156331,1.01554869361,1.1393795406,1.21184519988,1.25377577263
ROA=资产收益率,0.049529509301,0.0551826018704,0.0727620998874,0.0767292685338,0.0709156360372
净资产收益率,0.0680021846336,0.075099856149,0.102217708912,0.109870067353,0.104239030616
ROA=税前纯益占实收资本比率,0.182547913444,0.189232625432,0.257429273811,0.294070664174,0.27189346091
毛利率,0.360423888605,0.244335744294,0.235758232039,0.244235738927,0.240364722601
营业利润率,0.126209339295,0.065920126422,0.0744095457271,0.0795493570141,0.0626710020941
净利率,0.23421454931017346,0.17841561787245364,0.16134868631222454,0.16468638191297774,0.17769372050653925
营业费用率,0.23421454931017346,0.17841561787245364,0.16134868631222454,0.16468638191297774,0.17769372050653925
经营安全边际率,0.3501691849093443,0.26979321675736095,0.3156180171670887,0.32570727512504904,0.2607329454007162
EPS=基本每股收益,0.138804097207,0.146524976261,0.188545646541,0.222322050713,0.191888253442
营收增长率,-0.46895279858,-0.089620493206,0.00901738286933,0.0480819056711,0.144055361025
毛利率,0.360423888605,0.244335744294,0.235758232039,0.244235738927,0.240364722601
营业利润率,0.126209339295,0.065920126422,0.0744095457271,0.0795493570141,0.0626710020941
净利增长率,-0.0526932626147,-0.222867358914,0.0176893167631,0.158601669072,0.108028428775
净资本增长率,0.0857056046395,0.0244120576641,0.025002140239,0.127492162804,0.013382568007
现金流量比率,0.28629189968,0.368572820261,0.372273008394,0.336903000559,0.202862252877
现金再投资比率,0.0833002816074,0.0848442955866,0.0904746788169,0.0975980594915,0.0409535514405
