,2017,2016,2015,2014,2013
负债占资产比率(%),0.285342734932,0.219650025748,0.279117371855,0.244268519055,0.246447782281
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.53192943174,3.58634707087,1.95155395983,1.25260862039,2.17165358474
速动比率(%),2.01133598985,3.05910030064,1.44878727732,0.830720649977,1.38518130769
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,16.4690014216,29.6515642111,30.3872045199,23.9529697093,22.7506482454
存货周转天数,21.8592488266,12.1410121044,11.8470917509,15.029451645,15.8237249382
固定资产周转率,100.345532946,92.644778195,78.5844810187,41.024380452,26.6564886019
总资产周转率,0.494360561943,0.544438801218,0.483694879593,0.329037089083,0.423747626811
ROA=资产收益率,0.0216098204071,0.178656002694,0.104668791766,0.123806017478,0.0176177846232
净资产收益率,0.0289175119693,0.237554272939,0.141484472862,0.163994419431,0.0235747497811
ROA=税前纯益占实收资本比率,0.300176738388,2.64549907286,1.58954196003,1.58993461932,0.125174864825
毛利率,0.0614727196133,0.0566482522775,0.0494643223502,0.0525893907439,0.0444048585028
营业利润率,0.0503544890198,0.428397713635,0.273035979579,0.480494347902,0.0403121664513
净利率,0.011118230593570595,-0.37174946135779463,-0.22357165722922315,-0.4279049571576279,0.004092692051537519
营业费用率,0.011118230593570595,-0.37174946135779463,-0.22357165722922315,-0.4279049571576279,0.004092692051537519
经营安全边际率,0.8191355342092186,7.562417134011727,5.51985687070535,9.13671638147658,0.9078323366062225
EPS=基本每股收益,0.258047522008,2.02120772586,1.23129644597,1.24045981718,0.12247140675
营收增长率,-0.0415930671203,0.0824940079486,0.725961498924,0.119167557748,-0.0657618215553
毛利率,0.0614727196133,0.0566482522775,0.0494643223502,0.0525893907439,0.0444048585028
营业利润率,0.0503544890198,0.428397713635,0.273035979579,0.480494347902,0.0403121664513
净利增长率,-0.872330033818,0.641528108421,-0.00738707621107,9.12856674136,0.0469820583657
净资本增长率,0.0129795360685,0.102357211319,-0.156859842912,0.7548952338,0.0972344369428
现金流量比率,0.209464811492,0.0,0.0,0.0,0.0
现金再投资比率,-0.0133143996612,0.0,0.0,0.0,0.0
