,2017,2016,2015,2014,2013
负债占资产比率(%),0.537929019412,0.617368845621,0.61726597973,0.644763698449,0.487223321169
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.18910691134,0.925408918167,1.03316761865,0.949735852889,1.61445240587
速动比率(%),0.720517658872,0.476476407268,0.562644259564,0.494523879432,0.858087929196
应收款项周转率,1.38121163333,3.38277692783,4.068433527,6.79187510348,4.91922938293
应收款项周转天数,260.640723921,106.421442407,88.4861452476,53.0045082565,73.1821941967
存货周转率,0.757131683167,1.52736541142,1.75024406927,3.37058328285,2.73506031346
存货周转天数,475.478715267,235.699982013,205.685599123,106.806439655,131.624154037
固定资产周转率,0.971194120468,1.68356735702,2.12125424106,2.64934403009,4.25366914148
总资产周转率,0.230956208354,0.458263379675,0.512700463859,1.0114643086,0.908882667467
ROA=资产收益率,0.00668876765553,0.0188937880831,0.0234922580832,0.0378489976765,0.0377597403638
净资产收益率,0.015655620852,0.0493720748213,0.0635730377645,0.0991155590662,0.0739285938862
ROA=税前纯益占实收资本比率,0.208671834944,0.597926157877,0.674297047442,0.605294413014,0.354748170622
毛利率,0.195953771841,0.195068441786,0.178702777107,0.1509976682,0.149129036229
营业利润率,0.0332984433249,0.0444687225108,0.0451653978692,0.0359104064312,0.0472900627671
净利率,0.16265532851584164,0.15059971927538288,0.13353737923751663,0.11508726176875317,0.10183897346170498
营业费用率,0.16265532851584164,0.15059971927538288,0.13353737923751663,0.11508726176875317,0.10183897346170498
经营安全边际率,0.16993009632870082,0.22796471896526632,0.2527403244674567,0.23782093365581772,0.31710835101570667
EPS=基本每股收益,0.167313486788,0.470051802386,0.552090669472,0.513939733884,0.302272086169
营收增长率,-0.41497291432,-0.0537792196269,-0.12271444268,2.37616953371,0.115917739742
毛利率,0.195953771841,0.195068441786,0.178702777107,0.1509976682,0.149129036229
营业利润率,0.0332984433249,0.0444687225108,0.0451653978692,0.0359104064312,0.0472900627671
净利增长率,-0.589050405112,-0.148596728079,0.0742323137763,2.04093326191,0.158999435257
净资本增长率,0.280975046326,0.0362864687856,0.0828077103152,3.9156615865,0.0526952394506
现金流量比率,0.0,0.0,0.112831876809,0.00629310054722,0.0801043511262
现金再投资比率,0.0,0.0,0.0746957389098,-0.052644417667,0.0229961314605
