,2017,2016,2015,2014,2013
负债占资产比率(%),0.742189683801,0.740283091479,0.761900839048,0.820847271558,0.813261155685
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.23514003418,1.18364686701,1.16238383508,1.13640460697,1.14300763373
速动比率(%),0.854444909753,0.826845461793,0.702663517476,0.605443270573,0.560582402587
应收款项周转率,3.45097279558,4.55859139244,5.56518888938,5.54404697521,4.95686321993
应收款项周转天数,104.318411452,78.9717632067,64.6878312948,64.9345147344,72.6265753214
存货周转率,2.61118628722,3.39638732583,3.80613404762,4.1814767096,4.03167056174
存货周转天数,137.868371078,105.994978035,94.5841621698,86.0939866466,89.293010053
固定资产周转率,6.88223408233,9.89496907597,10.9482956991,12.6138379159,11.7219715763
总资产周转率,0.454916455648,0.674784171618,0.842563449266,0.937537127302,0.921499916042
ROA=资产收益率,0.0247768096765,0.0180870595127,0.0242156436469,0.00228620952429,0.0031748826371
净资产收益率,0.0957677659064,0.0727068478775,0.115031809423,0.0125042361442,0.0157209855738
ROA=税前纯益占实收资本比率,0.502760201036,0.373872461958,0.700382392731,0.213638269934,0.285974388146
毛利率,0.172908560266,0.122390724145,0.107907375066,0.105907444074,0.130799282048
营业利润率,0.0634847915326,0.0293149504387,0.0338332527695,0.00684172038828,0.0099571837942
净利率,0.10942376873321175,0.09307577370636468,0.0740741222964136,0.09906572368597755,0.1208420982533068
营业费用率,0.10942376873321175,0.09307577370636468,0.0740741222964136,0.09906572368597755,0.1208420982533068
经营安全边际率,0.36715817559866515,0.23951938060212968,0.31353976267900385,0.06460093950981895,0.07612567621421375
EPS=基本每股收益,0.412535586358,0.290416755523,0.555299338352,0.0509983562293,0.065332050105
营收增长率,-0.300916436513,-0.158844878874,-0.011744910429,0.102896384533,-0.0238183291607
毛利率,0.172908560266,0.122390724145,0.107907375066,0.105907444074,0.130799282048
营业利润率,0.0634847915326,0.0293149504387,0.0338332527695,0.00684172038828,0.0099571837942
净利增长率,0.420495128165,-0.21551296153,10.6475586732,-0.219397582851,-0.906649192654
净资本增长率,0.101353264815,-0.0257721682744,0.136779651336,0.0602843134564,0.110398419046
现金流量比率,0.00422901025379,0.129102554002,0.0982078676261,0.0742603692743,0.0
现金再投资比率,-0.01130223438,0.225691289262,0.210268543339,0.198311083518,0.0
