,2017,2016,2015,2014,2013
负债占资产比率(%),1.02658702092,1.00294836878,0.897824540427,0.788067648598,0.793191779616
长期资金占不动产及设备比率(%),0.0,0.0,0.526216191201,0.64104768495,0.649352447976
流动比率(%),0.132011150572,0.0936501092411,0.186633899981,0.472184193011,0.484845338756
速动比率(%),0.0492148555903,0.054992525468,0.0653000934549,0.164725231516,0.15234039509
应收款项周转率,24.9097033133,10.7059331343,13.4384728785,15.5955405495,12.9476243817
应收款项周转天数,14.452199429,33.6262141266,26.7887581614,23.0835217835,27.8043283761
存货周转率,4.85759212446,3.2877616358,1.95223536628,1.51031800392,2.23711520164
存货周转天数,74.1107920913,109.4969891,184.40399463,238.360397656,160.921529538
固定资产周转率,0.284924799168,0.149702027014,0.275520142713,0.411859458937,0.714816442176
总资产周转率,0.223801459197,0.116693651076,0.193331153212,0.257253393203,0.44378821932
ROA=资产收益率,0.0,0.0,0.0,0.00108495509536,0.0
净资产收益率,0.0,0.0,0.0,0.00518258701742,0.0
ROA=税前纯益占实收资本比率,0.0,0.0,0.0,0.0122947964878,0.0
毛利率,0.0584887874118,-0.395865638694,-0.25858458816,-0.0349950188064,-0.0182775065895
营业利润率,0.0,0.0,0.0,0.0,0.0
净利率,0.058488787411751314,-0.3958656386936788,-0.2585845881603665,-0.03499501880636407,-0.018277506589538296
营业费用率,0.058488787411751314,-0.3958656386936788,-0.2585845881603665,-0.03499501880636407,-0.018277506589538296
经营安全边际率,0.0,-0.0,-0.0,-0.0,-0.0
EPS=基本每股收益,0.0,0.0,0.0,0.0116417340487,0.0
营收增长率,0.853523362466,-0.471270614616,-0.318090393536,-0.302810109132,-0.0485042995267
毛利率,0.0584887874118,-0.395865638694,-0.25858458816,-0.0349950188064,-0.0182775065895
营业利润率,0.0,0.0,0.0,0.0,0.0
净利增长率,0.0,0.0,0.0,0.0,0.0
净资本增长率,0.006902488234,-0.071112964772,-0.168058220877,-0.0185976861289,0.544568916511
现金流量比率,0.0,0.0,0.0,0.104129348738,0.0710054356263
现金再投资比率,0.0,0.0,0.0,0.0703359378534,0.057740382243
