,2017,2016,2015,2014,2013
负债占资产比率(%),0.343371432738,0.917920982348,0.918931254609,0.925409630968,0.932419930233
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.56031657674,0.0,0.0,0.0,0.0
速动比率(%),0.859656165778,0.0,0.0,0.0,0.0
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.0,0.0,0.0,0.0,0.0
存货周转天数,133.52684768,0.0,0.0,0.0,0.0
固定资产周转率,2.09085795513,2.79545073442,3.33293074242,3.65166186404,4.16346613868
总资产周转率,0.0,0.0,0.0,0.0,0.0
ROA=资产收益率,0.00918142402249,0.0120441767107,0.0129715895239,0.0139793595404,0.0144248614144
净资产收益率,0.112233652312,0.147609449975,0.166407865246,0.196242089633,0.218507288562
ROA=税前纯益占实收资本比率,0.171633948447,1.01928132725,1.01915787288,1.02296213525,0.96342240815
毛利率,0.149888922861,0.0,0.0,0.0,0.0
营业利润率,0.0420848980587,0.584150293684,0.552062316317,0.574442628738,0.595844507576
净利率,0.10780402480212177,-0.5841502936842088,-0.5520623163170356,-0.5744426287381054,-0.5958445075760924
营业费用率,0.10780402480212177,-0.5841502936842088,-0.5520623163170356,-0.5744426287381054,-0.5958445075760924
经营安全边际率,0.28077390413830267,0.0,0.0,0.0,0.0
EPS=基本每股收益,0.147862388522,0.783110320504,0.779221507995,0.781583897933,0.748356526936
营收增长率,-0.183122814467,-0.0528807323672,0.040316667705,0.106703484949,0.0797282646042
毛利率,0.149888922861,0.0,0.0,0.0,0.0
营业利润率,0.0420848980587,0.584150293684,0.552062316317,0.574442628738,0.595844507576
净利增长率,-0.368917657499,0.00499063805271,0.00519027384667,0.0506569315308,0.101696335429
净资本增长率,0.0485758103363,0.0867854161545,0.0776240004041,0.0894504273024,0.0784128368723
现金流量比率,0.211168505951,0.0,0.0,0.0,0.0
现金再投资比率,0.0800963619374,0.0,0.0,0.0,0.0
