,2017,2016,2015,2014,2013
负债占资产比率(%),0.658512336035,0.671776761835,0.693874571309,0.683560504855,0.669675369333
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.30112990172,1.29810985839,1.29165015626,1.19222142959,1.23301191463
速动比率(%),0.889598497162,0.974888223872,0.965239622327,0.823734338546,0.85418014404
应收款项周转率,1.57814731408,2.39501082979,2.41180291087,2.4538379629,2.83755801726
应收款项周转天数,228.115586414,150.312472713,149.265928148,146.708953665,126.869652642
存货周转率,1.50445251033,2.53920798497,2.4486982149,2.51441635468,2.80265142057
存货周转天数,239.289706739,141.776491776,147.016891591,143.174378949,128.449794847
固定资产周转率,4.10449048618,6.79427075077,7.07935274602,5.94890364311,5.69548713408
总资产周转率,0.314888473817,0.468255153945,0.510409073718,0.562847042176,0.638850050198
ROA=资产收益率,0.0190597257516,0.0256469516029,0.0316887239242,0.0346410293458,0.0356845746765
净资产收益率,0.0568550857887,0.0807482253586,0.101903122818,0.107241371501,0.106120762013
ROA=税前纯益占实收资本比率,0.307946773332,0.405349993701,0.478084855281,0.438333164244,0.428689402772
毛利率,0.221888962114,0.216781263334,0.213918883261,0.208592901725,0.194021919933
营业利润率,0.0664087587632,0.0594266995493,0.0642486151165,0.0650128471214,0.0544313924858
净利率,0.15548020335035306,0.15735456378515483,0.149670268144956,0.14358005460371726,0.1395905274474076
营业费用率,0.15548020335035306,0.15735456378515483,0.149670268144956,0.14358005460371726,0.1395905274474076
经营安全边际率,0.29928824818776933,0.2741320842735048,0.3003410177583553,0.31167334354975007,0.28054248975873086
EPS=基本每股收益,0.264299395689,0.322476040037,0.377658906272,0.368521791846,0.345046608109
营收增长率,-0.258361588956,0.0137023530791,0.0159528517442,-0.0306812739634,0.027741026888
毛利率,0.221888962114,0.216781263334,0.213918883261,0.208592901725,0.194021919933
营业利润率,0.0664087587632,0.0594266995493,0.0642486151165,0.0650128471214,0.0544313924858
净利增长率,-0.180405732696,-0.105712261674,0.0248481416636,0.0680348196022,-0.00780169977134
净资本增长率,0.120873343189,0.0833330203007,0.12938362959,0.11027574222,0.0892436252721
现金流量比率,0.0,0.0965391256692,0.0769294609992,0.0472776143996,0.0872612054602
现金再投资比率,0.0,0.112253417996,0.0832869691256,0.0340860192287,0.101672957685
