,2017,2016,2015,2014,2013
负债占资产比率(%),0.757202996039,0.762392371323,0.769955150123,0.645614353571,0.564922857052
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),0.0,0.0,0.0,0.0,0.0
速动比率(%),0.0,0.0,0.0,0.0,0.0
应收款项周转率,0.0,0.0,0.0,0.0,0.0
应收款项周转天数,0.0,0.0,0.0,0.0,0.0
存货周转率,0.0,0.0,0.0,0.0,0.0
存货周转天数,0.0,0.0,0.0,0.0,0.0
固定资产周转率,8.56342802377,9.43002904321,17.5873659272,13.7574363294,11.1164183914
总资产周转率,0.0,0.0,0.0,0.0,0.0
ROA=资产收益率,0.00862343106182,0.0168358923757,0.0339632026737,0.02915078186,0.0340450631799
净资产收益率,0.0358956915438,0.0720096447313,0.12358020218,0.0770585957186,0.0715255063005
ROA=税前纯益占实收资本比率,0.21257554091,0.384120562196,0.661734366953,0.279404372109,0.222929839416
毛利率,0.0,0.0,0.0,0.0,0.0
营业利润率,0.475015378558,0.680058798178,0.663361384009,0.635555353382,0.503596937367
净利率,-0.4750153785582555,-0.6800587981776339,-0.6633613840089969,-0.6355553533820061,-0.5035969373666247
营业费用率,-0.4750153785582555,-0.6800587981776339,-0.6633613840089969,-0.6355553533820061,-0.5035969373666247
经营安全边际率,0.0,0.0,0.0,0.0,0.0
EPS=基本每股收益,0.161668283062,0.31368932269,0.49786723777,0.218702927305,0.180224293557
营收增长率,-0.203032345912,-0.443329063693,1.30388839181,0.347344988685,0.441381125021
毛利率,0.0,0.0,0.0,0.0,0.0
营业利润率,0.475015378558,0.680058798178,0.663361384009,0.635555353382,0.503596937367
净利增长率,-0.484622933049,-0.369933791798,1.27645438451,0.637653961785,0.965273264584
净资本增长率,0.0261663829691,-0.0135112407222,0.77655722112,1.37507490378,0.30779650721
现金流量比率,0.0,0.0,0.0,0.0,0.0
现金再投资比率,0.0,0.0,0.0,0.0,0.0
