,2017,2016,2015,2014,2013
负债占资产比率(%),0.943528128781,0.940901224342,0.171353148816,0.13592296155,0.137401083549
长期资金占不动产及设备比率(%),0.0,0.0,0.0,2.86251832602,2.8129335946
流动比率(%),0.0,0.0,9.56990290345,5.08219145197,5.05263917743
速动比率(%),0.0,0.0,6.88925248395,3.14870562854,2.96742422899
应收款项周转率,0.0,3.69796771088,3.26901757014,4.0653605758,4.58156946686
应收款项周转天数,0.0,97.3507688941,110.124828722,88.5530307306,78.5756938978
存货周转率,0.0,2.54942918611,2.40578711023,2.28220429735,1.92750454927
存货周转天数,0.0,141.208079817,149.639175665,157.742232112,186.769987202
固定资产周转率,3.58127314404,3.94163341353,2.00075591924,2.03976284536,2.06633819694
总资产周转率,0.0,0.572907390871,0.552496478617,0.599398982502,0.492241838066
ROA=资产收益率,0.00800246568823,0.0414375494819,0.0264436577025,0.0428972368339,0.0508513528919
净资产收益率,0.13872375151,0.0504871843951,0.0312626421591,0.0496869778558,0.0570958798697
ROA=税前纯益占实收资本比率,1.60870393702,1.84999295221,0.116526513056,0.189394846602,0.207428078701
毛利率,0.0,0.0,0.176242063885,0.164437325928,0.167164191564
营业利润率,0.416564010298,0.427415718621,0.0211973155068,0.037396844131,0.0354253441134
净利率,-0.4165640102979787,-0.4274157186212267,0.15504474837798832,0.12704048179749725,0.13173884745019876
营业费用率,-0.4165640102979787,-0.4274157186212267,0.15504474837798832,0.12704048179749725,0.13173884745019876
经营安全边际率,0.0,0.0,0.12027387242026644,0.22742308608972028,0.21191945345509994
EPS=基本每股收益,1.40161194331,1.60477936058,0.118017275075,0.183068189212,0.198973800329
营收增长率,-0.0942915044729,0.0803091547443,-0.0360511227449,0.328090474071,0.0534472179715
毛利率,0.0,0.0,0.176242063885,0.164437325928,0.167164191564
营业利润率,0.416564010298,0.427415718621,0.0211973155068,0.037396844131,0.0354253441134
净利增长率,-0.126601464514,0.632546962837,-0.355337070942,-0.0799382184513,0.327757809186
净资本增长率,0.163004497955,0.0256584441509,0.0589363075006,0.0322008166734,0.158382417766
现金流量比率,0.0,0.0,1.01688180927,0.466897858348,0.291095087795
现金再投资比率,0.0,0.0,0.0542107667636,0.0453686858123,0.0230012433806
