,2017,2016,2015,2014,2013
负债占资产比率(%),0.20877818231,0.256314414716,0.227860052965,0.225698448751,0.355644895018
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.4284219379,2.01539944337,2.08947983482,2.14507625207,2.34190336114
速动比率(%),1.47998260223,1.33728274622,1.29312493611,1.3359859277,1.41897772449
应收款项周转率,3.64342786427,0.0,0.0,8.00198154376,2.389174961
应收款项周转天数,98.8080492908,0.0,0.0,44.9888565765,150.679630364
存货周转率,2.82903997848,4.30108537297,3.93363209772,21.5345078694,2.43698543132
存货周转天数,127.25164817,83.6998033712,91.5184722559,16.7173544054,147.723492875
固定资产周转率,1.64128994258,2.26821472029,2.07300956555,1.96435043086,25.9677724235
总资产周转率,0.613341853793,0.900046126767,0.818913173114,3.61096456218,0.566378434171
ROA=资产收益率,0.0715455458662,0.1259740362,0.117072235317,0.00711675452283,0.055546862368
净资产收益率,0.0932175044673,0.166490044943,0.151433646336,0.013059853101,0.0748702206377
ROA=税前纯益占实收资本比率,0.549835952582,0.883392501812,1.34452698521,1.10351245363,0.0
毛利率,0.216858026346,0.262987325642,0.264123594639,0.251169528611,0.0168900912132
营业利润率,0.149890016913,0.181814891407,0.184979703018,0.165582273356,0.0
净利率,0.06696800943219283,0.08117243423480694,0.07914389162042348,0.08558725525430702,0.016890091213190454
营业费用率,0.06696800943219283,0.08117243423480694,0.07914389162042348,0.08558725525430702,0.016890091213190454
经营安全边际率,0.691189620413288,0.6913446910921679,0.700352815019317,0.6592450695444527,0.0
EPS=基本每股收益,0.415183314298,0.669340370193,1.03426675415,0.828465840375,0.0
营收增长率,-0.256048691638,0.349516416556,0.295164780805,0.172736576829,-0.190703223728
毛利率,0.216858026346,0.262987325642,0.264123594639,0.251169528611,0.0168900912132
营业利润率,0.149890016913,0.181814891407,0.184979703018,0.165582273356,0.0
净利增长率,-0.379976379294,0.321229906982,0.47460550087,0.0,-0.465745632167
净资本增长率,0.0049109354142,0.195472526522,0.268974335246,0.401605083543,-0.0621380319015
现金流量比率,0.0639864827104,0.690602661918,0.387733013417,0.344327013462,0.602900264797
现金再投资比率,-0.0291391873666,0.189157881531,-0.0354637761579,0.0852488968332,0.282695880314
