,2017,2016,2015,2014,2013
负债占资产比率(%),0.393903753789,0.431987244497,0.570640510191,0.568558717792,0.410620071484
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,1.79982383701
流动比率(%),0.559322668538,0.72227353506,1.48135472391,1.4526010753,1.43584636629
速动比率(%),0.406230562806,0.586583419345,1.18463825302,1.19804772042,0.726682723791
应收款项周转率,31.9352936579,1.73339901078,1.74596768029,3.39160973488,2.389174961
应收款项周转天数,11.2727944154,207.684438355,206.189383724,106.144287858,150.679630364
存货周转率,22.3554374669,4.16325137379,5.18069648442,2.38197878439,2.43698543132
存货周转天数,16.1034647849,86.4708776095,69.4887262906,151.134847363,147.723492875
固定资产周转率,2.62485066749,3.21187157429,7.22308388587,7.42581405786,1.10137076126
总资产周转率,0.997798550884,0.747238436379,0.766615561488,0.297078540782,0.566378434171
ROA=资产收益率,0.0442679969855,0.028585167369,0.0359006758901,0.091305531845,0.055546862368
净资产收益率,0.0754131327776,0.0671231341893,0.0834183023352,0.167058134514,0.0748702206377
ROA=税前纯益占实收资本比率,0.466742903625,0.480457955833,0.438830035696,0.450278964861,0.156635574111
毛利率,0.168415758078,0.175291992904,0.270466398505,0.257273821547,0.19167717072
营业利润率,0.0533480195682,0.0415397611047,0.0462115647771,0.0485257967646,0.0438864153418
净利率,0.11506773850993146,0.1337522317995135,0.22425483372837526,0.20874802478238447,0.14779075537798958
营业费用率,0.11506773850993146,0.1337522317995135,0.22425483372837526,0.20874802478238447,0.14779075537798958
经营安全边际率,0.31676382410389586,0.2369746639106967,0.1708588018048225,0.18861536892032185,0.22896005391248425
EPS=基本每股收益,0.392053028833,0.402542002042,0.374089679797,0.394002635696,0.143175797733
营收增长率,-0.200951417348,0.0335445108597,-0.0570511629197,0.363790925617,-0.190703223728
毛利率,0.168415758078,0.175291992904,0.270466398505,0.257273821547,0.19167717072
营业利润率,0.0533480195682,0.0415397611047,0.0462115647771,0.0485257967646,0.0438864153418
净利增长率,-0.0260568416591,-0.155721505694,-0.0505401591123,9.42638966447,-0.465745632167
净资本增长率,-0.00503193347183,0.0591835438558,0.061580091216,0.635880560917,-0.0621380319015
现金流量比率,0.0,0.0599927259602,0.0726005618772,0.0347914512053,0.0
现金再投资比率,0.0,0.010641849856,0.0322645622808,-0.0168082416606,0.0
