,2017,2016,2015,2014,2013
负债占资产比率(%),0.252008788952,0.303235938558,0.303976239308,0.125457726117,0.095848773457
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),2.84324209988,2.48501052931,2.3980074496,5.05989323682,1.2977097966
速动比率(%),1.21965645872,1.28189081065,1.33308785668,4.63320519472,1.14786456228
应收款项周转率,19.8709952919,17.6789682146,5.18806048391,0.0,0.0
应收款项周转天数,18.1168579988,20.363179323,69.3900931025,0.0,0.0
存货周转率,0.437555128951,0.644651927471,5.86732053969,44.2832728621,32.3186256981
存货周转天数,822.75346849,558.440896024,61.3567978031,8.12948042754,11.1390875145
固定资产周转率,1.68676489075,2.27641279784,2.23200383104,2.72446812495,0.469768102524
总资产周转率,0.402281391266,0.557525148509,0.858434602063,0.348792088124,1.3957809249
ROA=资产收益率,0.0787301769936,0.125386205504,0.163958323868,0.0619853148351,0.0403195272866
净资产收益率,0.109144888071,0.18004716145,0.212794287436,0.0748547504652,0.0813500957676
ROA=税前纯益占实收资本比率,0.710435085775,1.13313821377,0.8876610766,2.33255878929,0.647691777233
毛利率,0.600322536629,0.617677968737,0.583300430076,0.706373271459,0.276765617722
营业利润率,0.271221841897,0.294959815907,0.245531657945,0.193231005377,0.19922516352
净利率,0.32910069473257375,0.3227181528299819,0.3377687721308578,0.5131422660818294,0.07754045420262404
营业费用率,0.32910069473257375,0.3227181528299819,0.3377687721308578,0.5131422660818294,0.07754045420262404
经营安全边际率,0.4517935365538725,0.4775300898461142,0.4209351567138109,0.273553676483171,0.7198335008488108
EPS=基本每股收益,0.534378235075,0.85414235555,0.662998893963,2.00872003642,0.484810557229
营收增长率,-0.281060216995,0.0381049285635,0.203881999338,-0.0414584306232,-0.0529553791834
毛利率,0.600322536629,0.617677968737,0.583300430076,0.706373271459,0.276765617722
营业利润率,0.271221841897,0.294959815907,0.245531657945,0.193231005377,0.19922516352
净利增长率,-0.374368649906,0.288301327993,0.341025805288,-0.149184607183,-0.0980409625019
净资本增长率,-0.0781298611117,0.0766075678076,0.461571817416,0.236782803657,-0.0400725305581
现金流量比率,0.0885782944981,0.425309875806,0.258046936857,1.53940660062,3.60243009491
现金再投资比率,-0.0936322301113,0.0761853515194,0.0215823239924,0.145954750558,0.092366589664
