,2017,2016,2015,2014,2013
负债占资产比率(%),0.111876116128,0.112444112502,0.116257826956,0.581002411525,0.095848773457
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),5.72691286537,5.96735869901,6.19160682874,0.921853729101,1.2977097966
速动比率(%),4.63135527936,5.18580969082,5.4900667635,0.515595098641,1.14786456228
应收款项周转率,0.0,0.0,2.70633664062,0.0,0.0
应收款项周转天数,0.0,0.0,133.021145484,0.0,0.0
存货周转率,3.27560883644,4.80872952082,1.05693759812,44.2832728621,32.3186256981
存货周转天数,109.903232643,74.8638488485,340.606674075,8.12948042754,11.1390875145
固定资产周转率,1.99444714143,2.65110552605,2.85847294,0.750409051003,0.469768102524
总资产周转率,0.454100266664,0.556079728423,0.286918688616,0.348792088124,1.3957809249
ROA=资产收益率,0.0505264184111,0.084868895341,0.016094825585,0.0619853148351,0.0403195272866
净资产收益率,0.0569091308884,0.0958165863873,0.0399434684408,0.0748547504652,0.0813500957676
ROA=税前纯益占实收资本比率,0.30456710325,0.4760556385,0.5029735622,0.312956405865,0.647691777233
毛利率,0.349941962971,0.374012258354,0.334263287285,0.332740523101,0.276765617722
营业利润率,0.132671665973,0.165403905695,0.177400996167,0.0844143927036,0.19922516352
净利率,0.2172702969980674,0.20860835265976072,0.15686229111770802,0.24832613039778695,0.07754045420262404
营业费用率,0.2172702969980674,0.20860835265976072,0.15686229111770802,0.24832613039778695,0.07754045420262404
经营安全边际率,0.3791247692802997,0.44224193726275257,0.5307223464716947,0.2536943559406977,0.7198335008488108
EPS=基本每股收益,0.2491556092,0.3933169637,0.4566143699,0.272579120872,0.484810557229
营收增长率,-0.131094152872,-0.0609453813545,-0.0227262994153,-0.0414584306232,-0.0529553791834
毛利率,0.349941962971,0.374012258354,0.334263287285,0.332740523101,0.276765617722
营业利润率,0.132671665973,0.165403905695,0.177400996167,0.0844143927036,0.19922516352
净利增长率,-0.366527172243,-0.138623333764,-0.307987088979,-0.149184607183,-0.0980409625019
净资本增长率,0.0278732161393,0.103967316867,0.112097449284,0.236782803657,-0.0400725305581
现金流量比率,0.254032876199,0.839049142829,0.864115108525,0.00368634878531,3.60243009491
现金再投资比率,-0.00383473228483,0.0,0.0645724706311,-0.0740594474811,0.092366589664
